
############################
training zipper
############################

Type : zipper Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.31414, avg_reader_cost: 3.22686 sec, avg_batch_cost: 3.35371 sec, avg_samples: 96.0, avg_ips: 28.62505 images/sec.
Type : zipper Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.58749, avg_reader_cost: 1.83701 sec, avg_batch_cost: 1.94867 sec, avg_samples: 96.0, avg_ips: 49.26437 images/sec.
Type : zipper Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.54866, avg_reader_cost: 0.05340 sec, avg_batch_cost: 0.16778 sec, avg_samples: 96.0, avg_ips: 572.18950 images/sec.
Type : zipper Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.60083, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07312 sec, avg_samples: 48.0, avg_ips: 656.47550 images/sec.
Type : zipper Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.57755, avg_reader_cost: 1.75648 sec, avg_batch_cost: 1.88002 sec, avg_samples: 96.0, avg_ips: 51.06328 images/sec.
Type : zipper Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.55032, avg_reader_cost: 0.14042 sec, avg_batch_cost: 0.25409 sec, avg_samples: 96.0, avg_ips: 377.82303 images/sec.
Type : zipper Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.56078, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07252 sec, avg_samples: 48.0, avg_ips: 661.90798 images/sec.
Type : zipper Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.53528, avg_reader_cost: 2.23828 sec, avg_batch_cost: 2.35192 sec, avg_samples: 96.0, avg_ips: 40.81774 images/sec.
Type : zipper Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.41189, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11304 sec, avg_samples: 96.0, avg_ips: 849.21951 images/sec.
Type : zipper Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.43771, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07185 sec, avg_samples: 48.0, avg_ips: 668.02463 images/sec.
Type : zipper Test [ Epoch 8/256 ] test_cost: 5.556526 sec max_auc: 0.93986 roc_auc : 0.939863.
Type : zipper Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.50989, avg_reader_cost: 2.15823 sec, avg_batch_cost: 2.27222 sec, avg_samples: 96.0, avg_ips: 42.24948 images/sec.
Type : zipper Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.44250, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11286 sec, avg_samples: 96.0, avg_ips: 850.57930 images/sec.
Type : zipper Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.47415, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.07166 sec, avg_samples: 48.0, avg_ips: 669.79148 images/sec.
Type : zipper Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.50387, avg_reader_cost: 2.29067 sec, avg_batch_cost: 2.40846 sec, avg_samples: 96.0, avg_ips: 39.85945 images/sec.
Type : zipper Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.40777, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11925 sec, avg_samples: 96.0, avg_ips: 805.04714 images/sec.
Type : zipper Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.43767, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.07110 sec, avg_samples: 48.0, avg_ips: 675.06024 images/sec.
Type : zipper Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.40373, avg_reader_cost: 2.12973 sec, avg_batch_cost: 2.24803 sec, avg_samples: 96.0, avg_ips: 42.70403 images/sec.
Type : zipper Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.42343, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.12327 sec, avg_samples: 96.0, avg_ips: 778.76000 images/sec.
Type : zipper Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.36638, avg_reader_cost: 0.00043 sec, avg_batch_cost: 0.07444 sec, avg_samples: 48.0, avg_ips: 644.84557 images/sec.
Type : zipper Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.41440, avg_reader_cost: 2.28677 sec, avg_batch_cost: 2.39888 sec, avg_samples: 96.0, avg_ips: 40.01872 images/sec.
Type : zipper Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.39570, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11205 sec, avg_samples: 96.0, avg_ips: 856.79823 images/sec.
Type : zipper Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.37659, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07206 sec, avg_samples: 48.0, avg_ips: 666.08633 images/sec.
Type : zipper Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.40319, avg_reader_cost: 1.71284 sec, avg_batch_cost: 1.82436 sec, avg_samples: 96.0, avg_ips: 52.62115 images/sec.
Type : zipper Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.38899, avg_reader_cost: 0.12808 sec, avg_batch_cost: 0.24059 sec, avg_samples: 96.0, avg_ips: 399.02169 images/sec.
Type : zipper Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.40790, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07035 sec, avg_samples: 48.0, avg_ips: 682.32193 images/sec.
Type : zipper Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.43702, avg_reader_cost: 2.17214 sec, avg_batch_cost: 2.28778 sec, avg_samples: 96.0, avg_ips: 41.96203 images/sec.
Type : zipper Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.36606, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11102 sec, avg_samples: 96.0, avg_ips: 864.74366 images/sec.
Type : zipper Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.38025, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.07459 sec, avg_samples: 48.0, avg_ips: 643.53875 images/sec.
Type : zipper Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.35067, avg_reader_cost: 2.22826 sec, avg_batch_cost: 2.34369 sec, avg_samples: 96.0, avg_ips: 40.96102 images/sec.
Type : zipper Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.40188, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11709 sec, avg_samples: 96.0, avg_ips: 819.86220 images/sec.
Type : zipper Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.35811, avg_reader_cost: 0.00037 sec, avg_batch_cost: 0.07314 sec, avg_samples: 48.0, avg_ips: 656.25081 images/sec.
Type : zipper Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.47131, avg_reader_cost: 2.36288 sec, avg_batch_cost: 2.48028 sec, avg_samples: 96.0, avg_ips: 38.70534 images/sec.
Type : zipper Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.36928, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11415 sec, avg_samples: 96.0, avg_ips: 840.98077 images/sec.
Type : zipper Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.43015, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.06465 sec, avg_samples: 48.0, avg_ips: 742.40670 images/sec.
Type : zipper Test [ Epoch 16/256 ] test_cost: 6.115893 sec max_auc: 0.99580 roc_auc : 0.995798.
Type : zipper Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.42879, avg_reader_cost: 2.43220 sec, avg_batch_cost: 2.55497 sec, avg_samples: 96.0, avg_ips: 37.57379 images/sec.
Type : zipper Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.34462, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11623 sec, avg_samples: 96.0, avg_ips: 825.95864 images/sec.
Type : zipper Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.33914, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.07298 sec, avg_samples: 48.0, avg_ips: 657.71510 images/sec.
Type : zipper Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.42060, avg_reader_cost: 2.58285 sec, avg_batch_cost: 2.69906 sec, avg_samples: 96.0, avg_ips: 35.56795 images/sec.
Type : zipper Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.41082, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11533 sec, avg_samples: 96.0, avg_ips: 832.36144 images/sec.
Type : zipper Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.40206, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.07345 sec, avg_samples: 48.0, avg_ips: 653.54318 images/sec.
Type : zipper Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.39799, avg_reader_cost: 2.63643 sec, avg_batch_cost: 2.75342 sec, avg_samples: 96.0, avg_ips: 34.86575 images/sec.
Type : zipper Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.30540, avg_reader_cost: 0.00038 sec, avg_batch_cost: 0.11894 sec, avg_samples: 96.0, avg_ips: 807.12563 images/sec.
Type : zipper Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.36156, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.07275 sec, avg_samples: 48.0, avg_ips: 659.83623 images/sec.
Type : zipper Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.28933, avg_reader_cost: 2.29465 sec, avg_batch_cost: 2.40876 sec, avg_samples: 96.0, avg_ips: 39.85460 images/sec.
Type : zipper Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.33275, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11942 sec, avg_samples: 96.0, avg_ips: 803.87868 images/sec.
Type : zipper Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.32224, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.07316 sec, avg_samples: 48.0, avg_ips: 656.13532 images/sec.
Type : zipper Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.35795, avg_reader_cost: 2.71316 sec, avg_batch_cost: 2.82719 sec, avg_samples: 96.0, avg_ips: 33.95599 images/sec.
Type : zipper Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.29277, avg_reader_cost: 0.00037 sec, avg_batch_cost: 0.11530 sec, avg_samples: 96.0, avg_ips: 832.63340 images/sec.
Type : zipper Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.35850, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.07242 sec, avg_samples: 48.0, avg_ips: 662.81669 images/sec.
Type : zipper Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.25209, avg_reader_cost: 2.41851 sec, avg_batch_cost: 2.53154 sec, avg_samples: 96.0, avg_ips: 37.92162 images/sec.
Type : zipper Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.30550, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11376 sec, avg_samples: 96.0, avg_ips: 843.91373 images/sec.
Type : zipper Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.33818, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.07223 sec, avg_samples: 48.0, avg_ips: 664.57799 images/sec.
Type : zipper Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.25533, avg_reader_cost: 2.34780 sec, avg_batch_cost: 2.46068 sec, avg_samples: 96.0, avg_ips: 39.01355 images/sec.
Type : zipper Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.28000, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11248 sec, avg_samples: 96.0, avg_ips: 853.45307 images/sec.
Type : zipper Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.20225, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.07232 sec, avg_samples: 48.0, avg_ips: 663.74103 images/sec.
Type : zipper Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.36870, avg_reader_cost: 1.76266 sec, avg_batch_cost: 1.87478 sec, avg_samples: 96.0, avg_ips: 51.20599 images/sec.
Type : zipper Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.21564, avg_reader_cost: 0.09246 sec, avg_batch_cost: 0.20463 sec, avg_samples: 96.0, avg_ips: 469.13802 images/sec.
Type : zipper Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.30750, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.07290 sec, avg_samples: 48.0, avg_ips: 658.48093 images/sec.
Type : zipper Test [ Epoch 24/256 ] test_cost: 6.531701 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : zipper Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.21194, avg_reader_cost: 2.30292 sec, avg_batch_cost: 2.41643 sec, avg_samples: 96.0, avg_ips: 39.72801 images/sec.
Type : zipper Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.28714, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11621 sec, avg_samples: 96.0, avg_ips: 826.07386 images/sec.
Type : zipper Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.28489, avg_reader_cost: 0.00060 sec, avg_batch_cost: 0.07481 sec, avg_samples: 48.0, avg_ips: 641.63543 images/sec.
Type : zipper Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.24850, avg_reader_cost: 2.60043 sec, avg_batch_cost: 2.71412 sec, avg_samples: 96.0, avg_ips: 35.37061 images/sec.
Type : zipper Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.26759, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11369 sec, avg_samples: 96.0, avg_ips: 844.37386 images/sec.
Type : zipper Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.23806, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07222 sec, avg_samples: 48.0, avg_ips: 664.64600 images/sec.
Type : zipper Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.22241, avg_reader_cost: 2.57910 sec, avg_batch_cost: 2.69459 sec, avg_samples: 96.0, avg_ips: 35.62697 images/sec.
Type : zipper Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.32941, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11619 sec, avg_samples: 96.0, avg_ips: 826.22642 images/sec.
Type : zipper Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.19138, avg_reader_cost: 0.00039 sec, avg_batch_cost: 0.07436 sec, avg_samples: 48.0, avg_ips: 645.51340 images/sec.
Type : zipper Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.23363, avg_reader_cost: 2.55591 sec, avg_batch_cost: 2.67130 sec, avg_samples: 96.0, avg_ips: 35.93754 images/sec.
Type : zipper Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.22281, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11635 sec, avg_samples: 96.0, avg_ips: 825.12082 images/sec.
Type : zipper Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.19691, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.07175 sec, avg_samples: 48.0, avg_ips: 668.98357 images/sec.
Type : zipper Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.26688, avg_reader_cost: 2.65368 sec, avg_batch_cost: 2.77064 sec, avg_samples: 96.0, avg_ips: 34.64908 images/sec.
Type : zipper Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.21661, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11503 sec, avg_samples: 96.0, avg_ips: 834.59740 images/sec.
Type : zipper Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.17898, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.07408 sec, avg_samples: 48.0, avg_ips: 647.97744 images/sec.
Type : zipper Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.14920, avg_reader_cost: 2.53535 sec, avg_batch_cost: 2.65669 sec, avg_samples: 96.0, avg_ips: 36.13514 images/sec.
Type : zipper Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.20289, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11859 sec, avg_samples: 96.0, avg_ips: 809.51422 images/sec.
Type : zipper Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.17331, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.07350 sec, avg_samples: 48.0, avg_ips: 653.06195 images/sec.
Type : zipper Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.25712, avg_reader_cost: 2.52449 sec, avg_batch_cost: 2.63930 sec, avg_samples: 96.0, avg_ips: 36.37329 images/sec.
Type : zipper Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.23486, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.12308 sec, avg_samples: 96.0, avg_ips: 779.95623 images/sec.
Type : zipper Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.25640, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.07579 sec, avg_samples: 48.0, avg_ips: 633.29367 images/sec.
Type : zipper Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.24920, avg_reader_cost: 2.18962 sec, avg_batch_cost: 2.30695 sec, avg_samples: 96.0, avg_ips: 41.61347 images/sec.
Type : zipper Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.22229, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11470 sec, avg_samples: 96.0, avg_ips: 836.93759 images/sec.
Type : zipper Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.15397, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.07538 sec, avg_samples: 48.0, avg_ips: 636.73871 images/sec.
Type : zipper Test [ Epoch 32/256 ] test_cost: 5.945534 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : zipper Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.24410, avg_reader_cost: 2.11361 sec, avg_batch_cost: 2.22749 sec, avg_samples: 96.0, avg_ips: 43.09775 images/sec.
Type : zipper Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.23077, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11175 sec, avg_samples: 96.0, avg_ips: 859.05210 images/sec.
Type : zipper Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.20285, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.07001 sec, avg_samples: 48.0, avg_ips: 685.64255 images/sec.
Type : zipper Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.24011, avg_reader_cost: 2.36747 sec, avg_batch_cost: 2.48122 sec, avg_samples: 96.0, avg_ips: 38.69063 images/sec.
Type : zipper Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.18812, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11368 sec, avg_samples: 96.0, avg_ips: 844.44823 images/sec.
Type : zipper Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.14658, avg_reader_cost: 0.00037 sec, avg_batch_cost: 0.07916 sec, avg_samples: 48.0, avg_ips: 606.34513 images/sec.
Type : zipper Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.21372, avg_reader_cost: 1.82333 sec, avg_batch_cost: 1.94214 sec, avg_samples: 96.0, avg_ips: 49.43004 images/sec.
Type : zipper Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.19084, avg_reader_cost: 0.06346 sec, avg_batch_cost: 0.18184 sec, avg_samples: 96.0, avg_ips: 527.93128 images/sec.
Type : zipper Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.15605, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.07308 sec, avg_samples: 48.0, avg_ips: 656.85460 images/sec.
Type : zipper Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.17151, avg_reader_cost: 2.25162 sec, avg_batch_cost: 2.37603 sec, avg_samples: 96.0, avg_ips: 40.40350 images/sec.
Type : zipper Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.17118, avg_reader_cost: 0.00046 sec, avg_batch_cost: 0.11580 sec, avg_samples: 96.0, avg_ips: 828.99404 images/sec.
Type : zipper Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.21487, avg_reader_cost: 0.00035 sec, avg_batch_cost: 0.07275 sec, avg_samples: 48.0, avg_ips: 659.78217 images/sec.
Type : zipper Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.29674, avg_reader_cost: 2.25969 sec, avg_batch_cost: 2.37266 sec, avg_samples: 96.0, avg_ips: 40.46095 images/sec.
Type : zipper Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.24672, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11373 sec, avg_samples: 96.0, avg_ips: 844.12958 images/sec.
Type : zipper Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.26227, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07089 sec, avg_samples: 48.0, avg_ips: 677.13090 images/sec.
Type : zipper Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.18724, avg_reader_cost: 2.20422 sec, avg_batch_cost: 2.31728 sec, avg_samples: 96.0, avg_ips: 41.42785 images/sec.
Type : zipper Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.21290, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11108 sec, avg_samples: 96.0, avg_ips: 864.21655 images/sec.
Type : zipper Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.31141, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.06929 sec, avg_samples: 48.0, avg_ips: 692.70568 images/sec.
Type : zipper Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.19929, avg_reader_cost: 2.48609 sec, avg_batch_cost: 2.61122 sec, avg_samples: 96.0, avg_ips: 36.76441 images/sec.
Type : zipper Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.23685, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11408 sec, avg_samples: 96.0, avg_ips: 841.48694 images/sec.
Type : zipper Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.18258, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.07168 sec, avg_samples: 48.0, avg_ips: 669.65335 images/sec.
Type : zipper Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.21666, avg_reader_cost: 2.25986 sec, avg_batch_cost: 2.37456 sec, avg_samples: 96.0, avg_ips: 40.42850 images/sec.
Type : zipper Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.18164, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11242 sec, avg_samples: 96.0, avg_ips: 853.97437 images/sec.
Type : zipper Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.23446, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07000 sec, avg_samples: 48.0, avg_ips: 685.69626 images/sec.
Type : zipper Test [ Epoch 40/256 ] test_cost: 5.788518 sec max_auc: 1.00000 roc_auc : 0.989496.
Type : zipper Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.19128, avg_reader_cost: 2.41388 sec, avg_batch_cost: 2.52644 sec, avg_samples: 96.0, avg_ips: 37.99813 images/sec.
Type : zipper Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.17189, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11452 sec, avg_samples: 96.0, avg_ips: 838.27575 images/sec.
Type : zipper Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.14907, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07358 sec, avg_samples: 48.0, avg_ips: 652.38054 images/sec.
Type : zipper Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.19893, avg_reader_cost: 2.34020 sec, avg_batch_cost: 2.45329 sec, avg_samples: 96.0, avg_ips: 39.13117 images/sec.
