
############################
training capsule
############################

Type : capsule Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.28881, avg_reader_cost: 2.46646 sec, avg_batch_cost: 4.94863 sec, avg_samples: 96.0, avg_ips: 19.39931 images/sec.
Type : capsule Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.13320, avg_reader_cost: 2.83507 sec, avg_batch_cost: 2.94877 sec, avg_samples: 96.0, avg_ips: 32.55594 images/sec.
Type : capsule Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.15664, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11516 sec, avg_samples: 96.0, avg_ips: 833.62114 images/sec.
Type : capsule Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.17601, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.05086 sec, avg_samples: 27.0, avg_ips: 530.82999 images/sec.
Type : capsule Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.16721, avg_reader_cost: 2.95666 sec, avg_batch_cost: 3.07098 sec, avg_samples: 96.0, avg_ips: 31.26041 images/sec.
Type : capsule Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.15564, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11259 sec, avg_samples: 96.0, avg_ips: 852.63981 images/sec.
Type : capsule Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.30727, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.05086 sec, avg_samples: 27.0, avg_ips: 530.91460 images/sec.
Type : capsule Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.13441, avg_reader_cost: 2.84968 sec, avg_batch_cost: 2.96600 sec, avg_samples: 96.0, avg_ips: 32.36685 images/sec.
Type : capsule Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.14319, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11188 sec, avg_samples: 96.0, avg_ips: 858.09280 images/sec.
Type : capsule Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.18149, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.04999 sec, avg_samples: 27.0, avg_ips: 540.11126 images/sec.
Type : capsule Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.16393, avg_reader_cost: 2.11024 sec, avg_batch_cost: 2.22402 sec, avg_samples: 96.0, avg_ips: 43.16501 images/sec.
Type : capsule Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.13567, avg_reader_cost: 0.29171 sec, avg_batch_cost: 0.40433 sec, avg_samples: 96.0, avg_ips: 237.42911 images/sec.
Type : capsule Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.21597, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05215 sec, avg_samples: 27.0, avg_ips: 517.68985 images/sec.
Type : capsule Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.13959, avg_reader_cost: 2.64096 sec, avg_batch_cost: 2.75644 sec, avg_samples: 96.0, avg_ips: 34.82758 images/sec.
Type : capsule Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.13718, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11685 sec, avg_samples: 96.0, avg_ips: 821.57352 images/sec.
Type : capsule Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.18445, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.05201 sec, avg_samples: 27.0, avg_ips: 519.08275 images/sec.
Type : capsule Test [ Epoch 16/256 ] test_cost: 11.591161 sec max_auc: 0.83047 roc_auc : 0.830475.
Type : capsule Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.14689, avg_reader_cost: 2.69068 sec, avg_batch_cost: 2.80772 sec, avg_samples: 96.0, avg_ips: 34.19144 images/sec.
Type : capsule Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.13210, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11191 sec, avg_samples: 96.0, avg_ips: 857.79849 images/sec.
Type : capsule Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.19030, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.05122 sec, avg_samples: 27.0, avg_ips: 527.13845 images/sec.
Type : capsule Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.08733, avg_reader_cost: 2.49499 sec, avg_batch_cost: 2.60831 sec, avg_samples: 96.0, avg_ips: 36.80538 images/sec.
Type : capsule Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.13664, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11130 sec, avg_samples: 96.0, avg_ips: 862.51713 images/sec.
Type : capsule Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.09040, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04910 sec, avg_samples: 27.0, avg_ips: 549.86700 images/sec.
Type : capsule Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.15320, avg_reader_cost: 2.62010 sec, avg_batch_cost: 2.73498 sec, avg_samples: 96.0, avg_ips: 35.10077 images/sec.
Type : capsule Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.10203, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11398 sec, avg_samples: 96.0, avg_ips: 842.26143 images/sec.
Type : capsule Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.06754, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.05146 sec, avg_samples: 27.0, avg_ips: 524.72770 images/sec.
Type : capsule Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.12037, avg_reader_cost: 2.08613 sec, avg_batch_cost: 2.19963 sec, avg_samples: 96.0, avg_ips: 43.64365 images/sec.
Type : capsule Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.05644, avg_reader_cost: 0.47733 sec, avg_batch_cost: 0.59163 sec, avg_samples: 96.0, avg_ips: 162.26443 images/sec.
Type : capsule Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.11466, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.05186 sec, avg_samples: 27.0, avg_ips: 520.62913 images/sec.
Type : capsule Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.08086, avg_reader_cost: 2.58249 sec, avg_batch_cost: 2.69833 sec, avg_samples: 96.0, avg_ips: 35.57759 images/sec.
Type : capsule Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.13630, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11691 sec, avg_samples: 96.0, avg_ips: 821.15465 images/sec.
Type : capsule Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.03920, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.05143 sec, avg_samples: 27.0, avg_ips: 524.98312 images/sec.
Type : capsule Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.10809, avg_reader_cost: 2.15284 sec, avg_batch_cost: 2.26611 sec, avg_samples: 96.0, avg_ips: 42.36343 images/sec.
Type : capsule Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.08694, avg_reader_cost: 0.15127 sec, avg_batch_cost: 0.26209 sec, avg_samples: 96.0, avg_ips: 366.29043 images/sec.
Type : capsule Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.07233, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.04884 sec, avg_samples: 27.0, avg_ips: 552.78456 images/sec.
Type : capsule Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.09217, avg_reader_cost: 2.11171 sec, avg_batch_cost: 2.22537 sec, avg_samples: 96.0, avg_ips: 43.13899 images/sec.
Type : capsule Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.06468, avg_reader_cost: 0.13794 sec, avg_batch_cost: 0.25060 sec, avg_samples: 96.0, avg_ips: 383.07389 images/sec.
Type : capsule Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.09148, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05046 sec, avg_samples: 27.0, avg_ips: 535.09645 images/sec.
Type : capsule Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.06600, avg_reader_cost: 2.10353 sec, avg_batch_cost: 2.21716 sec, avg_samples: 96.0, avg_ips: 43.29861 images/sec.
Type : capsule Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.08024, avg_reader_cost: 0.12650 sec, avg_batch_cost: 0.23874 sec, avg_samples: 96.0, avg_ips: 402.11194 images/sec.
Type : capsule Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.10547, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05096 sec, avg_samples: 27.0, avg_ips: 529.79195 images/sec.
Type : capsule Test [ Epoch 24/256 ] test_cost: 11.568025 sec max_auc: 0.85640 roc_auc : 0.856402.
Type : capsule Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.10456, avg_reader_cost: 3.01960 sec, avg_batch_cost: 3.13268 sec, avg_samples: 96.0, avg_ips: 30.64471 images/sec.
Type : capsule Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.12335, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11223 sec, avg_samples: 96.0, avg_ips: 855.42031 images/sec.
Type : capsule Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.10427, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.05806 sec, avg_samples: 27.0, avg_ips: 465.05200 images/sec.
Type : capsule Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.07770, avg_reader_cost: 2.71335 sec, avg_batch_cost: 2.82864 sec, avg_samples: 96.0, avg_ips: 33.93860 images/sec.
Type : capsule Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.07596, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11355 sec, avg_samples: 96.0, avg_ips: 845.40565 images/sec.
Type : capsule Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.05327, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04961 sec, avg_samples: 27.0, avg_ips: 544.25406 images/sec.
Type : capsule Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.12664, avg_reader_cost: 2.80023 sec, avg_batch_cost: 2.91422 sec, avg_samples: 96.0, avg_ips: 32.94187 images/sec.
Type : capsule Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.06710, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11368 sec, avg_samples: 96.0, avg_ips: 844.45000 images/sec.
Type : capsule Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.05684, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05150 sec, avg_samples: 27.0, avg_ips: 524.31227 images/sec.
Type : capsule Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.08977, avg_reader_cost: 2.93030 sec, avg_batch_cost: 3.04660 sec, avg_samples: 96.0, avg_ips: 31.51053 images/sec.
Type : capsule Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.13007, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11411 sec, avg_samples: 96.0, avg_ips: 841.28475 images/sec.
Type : capsule Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.08493, avg_reader_cost: 0.00035 sec, avg_batch_cost: 0.05219 sec, avg_samples: 27.0, avg_ips: 517.34220 images/sec.
Type : capsule Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.04852, avg_reader_cost: 2.71775 sec, avg_batch_cost: 2.83021 sec, avg_samples: 96.0, avg_ips: 33.91972 images/sec.
Type : capsule Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.09346, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11153 sec, avg_samples: 96.0, avg_ips: 860.74341 images/sec.
Type : capsule Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.05885, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.04506 sec, avg_samples: 27.0, avg_ips: 599.21482 images/sec.
Type : capsule Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.09168, avg_reader_cost: 2.78316 sec, avg_batch_cost: 2.89669 sec, avg_samples: 96.0, avg_ips: 33.14133 images/sec.
Type : capsule Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.10475, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11430 sec, avg_samples: 96.0, avg_ips: 839.88441 images/sec.
Type : capsule Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.04759, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05047 sec, avg_samples: 27.0, avg_ips: 534.93216 images/sec.
Type : capsule Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.11982, avg_reader_cost: 2.88885 sec, avg_batch_cost: 3.00205 sec, avg_samples: 96.0, avg_ips: 31.97813 images/sec.
Type : capsule Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.01823, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11464 sec, avg_samples: 96.0, avg_ips: 837.43716 images/sec.
Type : capsule Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.01334, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04996 sec, avg_samples: 27.0, avg_ips: 540.39992 images/sec.
Type : capsule Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.11461, avg_reader_cost: 2.77122 sec, avg_batch_cost: 2.88026 sec, avg_samples: 96.0, avg_ips: 33.33028 images/sec.
Type : capsule Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.08946, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10690 sec, avg_samples: 96.0, avg_ips: 898.05577 images/sec.
Type : capsule Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.18207, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04345 sec, avg_samples: 27.0, avg_ips: 621.38178 images/sec.
Type : capsule Test [ Epoch 32/256 ] test_cost: 11.711683 sec max_auc: 0.85640 roc_auc : 0.800160.
Type : capsule Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.11425, avg_reader_cost: 2.69758 sec, avg_batch_cost: 2.81366 sec, avg_samples: 96.0, avg_ips: 34.11930 images/sec.
Type : capsule Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.08666, avg_reader_cost: 0.04425 sec, avg_batch_cost: 0.15393 sec, avg_samples: 96.0, avg_ips: 623.64776 images/sec.
Type : capsule Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.02590, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05065 sec, avg_samples: 27.0, avg_ips: 533.09643 images/sec.
Type : capsule Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.06838, avg_reader_cost: 2.95402 sec, avg_batch_cost: 3.06766 sec, avg_samples: 96.0, avg_ips: 31.29419 images/sec.
Type : capsule Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.05617, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11385 sec, avg_samples: 96.0, avg_ips: 843.20859 images/sec.
Type : capsule Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.05989, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.05133 sec, avg_samples: 27.0, avg_ips: 526.05369 images/sec.
Type : capsule Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.11654, avg_reader_cost: 2.80976 sec, avg_batch_cost: 2.92485 sec, avg_samples: 96.0, avg_ips: 32.82215 images/sec.
Type : capsule Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.11864, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11364 sec, avg_samples: 96.0, avg_ips: 844.79372 images/sec.
Type : capsule Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.09118, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05062 sec, avg_samples: 27.0, avg_ips: 533.38769 images/sec.
Type : capsule Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.06967, avg_reader_cost: 2.08702 sec, avg_batch_cost: 2.19952 sec, avg_samples: 96.0, avg_ips: 43.64589 images/sec.
Type : capsule Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.04295, avg_reader_cost: 0.12912 sec, avg_batch_cost: 0.24530 sec, avg_samples: 96.0, avg_ips: 391.36200 images/sec.
Type : capsule Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.01398, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05212 sec, avg_samples: 27.0, avg_ips: 518.00953 images/sec.
Type : capsule Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.04197, avg_reader_cost: 2.63491 sec, avg_batch_cost: 2.74937 sec, avg_samples: 96.0, avg_ips: 34.91704 images/sec.
Type : capsule Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.02768, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11206 sec, avg_samples: 96.0, avg_ips: 856.66333 images/sec.
Type : capsule Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.15429, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04971 sec, avg_samples: 27.0, avg_ips: 543.18636 images/sec.
Type : capsule Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.04395, avg_reader_cost: 2.72489 sec, avg_batch_cost: 2.83883 sec, avg_samples: 96.0, avg_ips: 33.81673 images/sec.
Type : capsule Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.06821, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11144 sec, avg_samples: 96.0, avg_ips: 861.43212 images/sec.
Type : capsule Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.05166, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05289 sec, avg_samples: 27.0, avg_ips: 510.53660 images/sec.
Type : capsule Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.10621, avg_reader_cost: 2.79363 sec, avg_batch_cost: 2.90749 sec, avg_samples: 96.0, avg_ips: 33.01821 images/sec.
Type : capsule Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.07349, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11155 sec, avg_samples: 96.0, avg_ips: 860.61095 images/sec.
Type : capsule Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.12740, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.05068 sec, avg_samples: 27.0, avg_ips: 532.71025 images/sec.
Type : capsule Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.10794, avg_reader_cost: 2.92882 sec, avg_batch_cost: 3.04358 sec, avg_samples: 96.0, avg_ips: 31.54179 images/sec.
Type : capsule Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.05590, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11514 sec, avg_samples: 96.0, avg_ips: 833.74197 images/sec.
Type : capsule Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.10693, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04998 sec, avg_samples: 27.0, avg_ips: 540.22978 images/sec.
Type : capsule Test [ Epoch 40/256 ] test_cost: 11.794799 sec max_auc: 0.87156 roc_auc : 0.871560.
Type : capsule Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.09725, avg_reader_cost: 3.03523 sec, avg_batch_cost: 3.15045 sec, avg_samples: 96.0, avg_ips: 30.47179 images/sec.
Type : capsule Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.05495, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11345 sec, avg_samples: 96.0, avg_ips: 846.17848 images/sec.
Type : capsule Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.01392, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05010 sec, avg_samples: 27.0, avg_ips: 538.87248 images/sec.
Type : capsule Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.06998, avg_reader_cost: 2.55427 sec, avg_batch_cost: 2.66812 sec, avg_samples: 96.0, avg_ips: 35.98045 images/sec.
