
############################
training transistor
############################

Type : transistor Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.34966, avg_reader_cost: 3.54029 sec, avg_batch_cost: 3.66641 sec, avg_samples: 96.0, avg_ips: 26.18364 images/sec.
Type : transistor Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.13704, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.10760 sec, avg_samples: 96.0, avg_ips: 892.18760 images/sec.
Type : transistor Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.20543, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04078 sec, avg_samples: 21.0, avg_ips: 514.98456 images/sec.
Type : transistor Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.18225, avg_reader_cost: 2.67690 sec, avg_batch_cost: 2.79064 sec, avg_samples: 96.0, avg_ips: 34.40072 images/sec.
Type : transistor Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.15572, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11303 sec, avg_samples: 96.0, avg_ips: 849.29474 images/sec.
Type : transistor Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.04933, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.04700 sec, avg_samples: 21.0, avg_ips: 446.82050 images/sec.
Type : transistor Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.12536, avg_reader_cost: 2.76347 sec, avg_batch_cost: 2.87810 sec, avg_samples: 96.0, avg_ips: 33.35528 images/sec.
Type : transistor Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.19501, avg_reader_cost: 0.00035 sec, avg_batch_cost: 0.11323 sec, avg_samples: 96.0, avg_ips: 847.79979 images/sec.
Type : transistor Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.12433, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.04611 sec, avg_samples: 21.0, avg_ips: 455.43586 images/sec.
Type : transistor Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.16460, avg_reader_cost: 2.68418 sec, avg_batch_cost: 2.79802 sec, avg_samples: 96.0, avg_ips: 34.31004 images/sec.
Type : transistor Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.13936, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11155 sec, avg_samples: 96.0, avg_ips: 860.62382 images/sec.
Type : transistor Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.12334, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.04588 sec, avg_samples: 21.0, avg_ips: 457.68645 images/sec.
Type : transistor Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.14567, avg_reader_cost: 2.60915 sec, avg_batch_cost: 2.72258 sec, avg_samples: 96.0, avg_ips: 35.26068 images/sec.
Type : transistor Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.13345, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11301 sec, avg_samples: 96.0, avg_ips: 849.49184 images/sec.
Type : transistor Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.20105, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04574 sec, avg_samples: 21.0, avg_ips: 459.15615 images/sec.
Type : transistor Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.13134, avg_reader_cost: 2.73199 sec, avg_batch_cost: 2.84688 sec, avg_samples: 96.0, avg_ips: 33.72109 images/sec.
Type : transistor Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.14339, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11472 sec, avg_samples: 96.0, avg_ips: 836.81061 images/sec.
Type : transistor Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.14901, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04484 sec, avg_samples: 21.0, avg_ips: 468.32336 images/sec.
Type : transistor Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.10006, avg_reader_cost: 2.46374 sec, avg_batch_cost: 2.57811 sec, avg_samples: 96.0, avg_ips: 37.23654 images/sec.
Type : transistor Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.14241, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11389 sec, avg_samples: 96.0, avg_ips: 842.93322 images/sec.
Type : transistor Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.13507, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04535 sec, avg_samples: 21.0, avg_ips: 463.10811 images/sec.
Type : transistor Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.11330, avg_reader_cost: 2.77873 sec, avg_batch_cost: 2.89363 sec, avg_samples: 96.0, avg_ips: 33.17636 images/sec.
Type : transistor Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.10317, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11600 sec, avg_samples: 96.0, avg_ips: 827.60537 images/sec.
Type : transistor Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.11039, avg_reader_cost: 0.00319 sec, avg_batch_cost: 0.05001 sec, avg_samples: 21.0, avg_ips: 419.87427 images/sec.
Type : transistor Test [ Epoch 24/256 ] test_cost: 11.074718 sec max_auc: 0.91083 roc_auc : 0.910833.
Type : transistor Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.23178, avg_reader_cost: 2.81145 sec, avg_batch_cost: 2.92831 sec, avg_samples: 96.0, avg_ips: 32.78339 images/sec.
Type : transistor Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.10570, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11892 sec, avg_samples: 96.0, avg_ips: 807.28907 images/sec.
Type : transistor Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.05341, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.04747 sec, avg_samples: 21.0, avg_ips: 442.41269 images/sec.
Type : transistor Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.16794, avg_reader_cost: 3.03032 sec, avg_batch_cost: 3.14597 sec, avg_samples: 96.0, avg_ips: 30.51519 images/sec.
Type : transistor Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.10160, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11418 sec, avg_samples: 96.0, avg_ips: 840.74547 images/sec.
Type : transistor Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.21299, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.04630 sec, avg_samples: 21.0, avg_ips: 453.55502 images/sec.
Type : transistor Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.22606, avg_reader_cost: 2.54171 sec, avg_batch_cost: 2.66217 sec, avg_samples: 96.0, avg_ips: 36.06078 images/sec.
Type : transistor Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.19620, avg_reader_cost: 0.03818 sec, avg_batch_cost: 0.14972 sec, avg_samples: 96.0, avg_ips: 641.18383 images/sec.
Type : transistor Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.18943, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04553 sec, avg_samples: 21.0, avg_ips: 461.22870 images/sec.
Type : transistor Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.17766, avg_reader_cost: 2.55704 sec, avg_batch_cost: 2.67122 sec, avg_samples: 96.0, avg_ips: 35.93868 images/sec.
Type : transistor Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.20952, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11298 sec, avg_samples: 96.0, avg_ips: 849.68902 images/sec.
Type : transistor Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.17339, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.04863 sec, avg_samples: 21.0, avg_ips: 431.84280 images/sec.
Type : transistor Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.17000, avg_reader_cost: 2.52058 sec, avg_batch_cost: 2.63713 sec, avg_samples: 96.0, avg_ips: 36.40326 images/sec.
Type : transistor Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.12166, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.10696 sec, avg_samples: 96.0, avg_ips: 897.57331 images/sec.
Type : transistor Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.17345, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.03939 sec, avg_samples: 21.0, avg_ips: 533.13551 images/sec.
Type : transistor Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.17578, avg_reader_cost: 2.38629 sec, avg_batch_cost: 2.49440 sec, avg_samples: 96.0, avg_ips: 38.48626 images/sec.
Type : transistor Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.15317, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.10529 sec, avg_samples: 96.0, avg_ips: 911.73708 images/sec.
Type : transistor Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.08762, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.03812 sec, avg_samples: 21.0, avg_ips: 550.89147 images/sec.
Type : transistor Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.12426, avg_reader_cost: 2.67044 sec, avg_batch_cost: 2.77906 sec, avg_samples: 96.0, avg_ips: 34.54409 images/sec.
Type : transistor Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.10868, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.10546 sec, avg_samples: 96.0, avg_ips: 910.26749 images/sec.
Type : transistor Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.03481, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.03907 sec, avg_samples: 21.0, avg_ips: 537.45894 images/sec.
Type : transistor Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.10803, avg_reader_cost: 2.83291 sec, avg_batch_cost: 2.94083 sec, avg_samples: 96.0, avg_ips: 32.64386 images/sec.
Type : transistor Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.11695, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.10510 sec, avg_samples: 96.0, avg_ips: 913.37922 images/sec.
Type : transistor Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.14198, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.04051 sec, avg_samples: 21.0, avg_ips: 518.43402 images/sec.
Type : transistor Test [ Epoch 32/256 ] test_cost: 10.602916 sec max_auc: 0.91083 roc_auc : 0.895833.
Type : transistor Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.08469, avg_reader_cost: 2.69913 sec, avg_batch_cost: 2.81343 sec, avg_samples: 96.0, avg_ips: 34.12206 images/sec.
Type : transistor Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.13203, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11387 sec, avg_samples: 96.0, avg_ips: 843.04264 images/sec.
Type : transistor Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.05246, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.04645 sec, avg_samples: 21.0, avg_ips: 452.05592 images/sec.
Type : transistor Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.09257, avg_reader_cost: 2.28679 sec, avg_batch_cost: 2.40053 sec, avg_samples: 96.0, avg_ips: 39.99116 images/sec.
Type : transistor Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.09923, avg_reader_cost: 0.05837 sec, avg_batch_cost: 0.17064 sec, avg_samples: 96.0, avg_ips: 562.59343 images/sec.
Type : transistor Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.09599, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04650 sec, avg_samples: 21.0, avg_ips: 451.61785 images/sec.
Type : transistor Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.17281, avg_reader_cost: 2.59390 sec, avg_batch_cost: 2.70908 sec, avg_samples: 96.0, avg_ips: 35.43636 images/sec.
Type : transistor Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.12579, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11339 sec, avg_samples: 96.0, avg_ips: 846.66600 images/sec.
Type : transistor Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.09201, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04543 sec, avg_samples: 21.0, avg_ips: 462.24290 images/sec.
Type : transistor Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.12356, avg_reader_cost: 2.62961 sec, avg_batch_cost: 2.74436 sec, avg_samples: 96.0, avg_ips: 34.98082 images/sec.
Type : transistor Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.09484, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11119 sec, avg_samples: 96.0, avg_ips: 863.37711 images/sec.
Type : transistor Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.12383, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.04502 sec, avg_samples: 21.0, avg_ips: 466.43358 images/sec.
Type : transistor Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.09837, avg_reader_cost: 2.48954 sec, avg_batch_cost: 2.59727 sec, avg_samples: 96.0, avg_ips: 36.96189 images/sec.
Type : transistor Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.08286, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.10569 sec, avg_samples: 96.0, avg_ips: 908.27987 images/sec.
Type : transistor Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.15641, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04114 sec, avg_samples: 21.0, avg_ips: 510.45113 images/sec.
Type : transistor Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.11238, avg_reader_cost: 2.82688 sec, avg_batch_cost: 2.93415 sec, avg_samples: 96.0, avg_ips: 32.71813 images/sec.
Type : transistor Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.11743, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10624 sec, avg_samples: 96.0, avg_ips: 903.59186 images/sec.
Type : transistor Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.11927, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.03997 sec, avg_samples: 21.0, avg_ips: 525.36688 images/sec.
Type : transistor Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.09274, avg_reader_cost: 2.58388 sec, avg_batch_cost: 2.69062 sec, avg_samples: 96.0, avg_ips: 35.67957 images/sec.
Type : transistor Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.13416, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11131 sec, avg_samples: 96.0, avg_ips: 862.47279 images/sec.
Type : transistor Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.02521, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04028 sec, avg_samples: 21.0, avg_ips: 521.32143 images/sec.
Type : transistor Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.09729, avg_reader_cost: 2.00703 sec, avg_batch_cost: 2.11458 sec, avg_samples: 96.0, avg_ips: 45.39904 images/sec.
Type : transistor Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.10655, avg_reader_cost: 0.33386 sec, avg_batch_cost: 0.44007 sec, avg_samples: 96.0, avg_ips: 218.14751 images/sec.
Type : transistor Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.07173, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.03851 sec, avg_samples: 21.0, avg_ips: 545.26445 images/sec.
Type : transistor Test [ Epoch 40/256 ] test_cost: 10.558153 sec max_auc: 0.93500 roc_auc : 0.935000.
Type : transistor Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.06161, avg_reader_cost: 2.57235 sec, avg_batch_cost: 2.68626 sec, avg_samples: 96.0, avg_ips: 35.73736 images/sec.
Type : transistor Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.08675, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11217 sec, avg_samples: 96.0, avg_ips: 855.82031 images/sec.
Type : transistor Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.06182, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04544 sec, avg_samples: 21.0, avg_ips: 462.12164 images/sec.
Type : transistor Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.08626, avg_reader_cost: 2.69064 sec, avg_batch_cost: 2.80488 sec, avg_samples: 96.0, avg_ips: 34.22602 images/sec.
