
############################
training pill
############################

Type : pill Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.44794, avg_reader_cost: 2.52006 sec, avg_batch_cost: 2.64218 sec, avg_samples: 96.0, avg_ips: 36.33365 images/sec.
Type : pill Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.29237, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11271 sec, avg_samples: 96.0, avg_ips: 851.71820 images/sec.
Type : pill Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.28966, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.09498 sec, avg_samples: 75.0, avg_ips: 789.62009 images/sec.
Type : pill Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.34284, avg_reader_cost: 2.72043 sec, avg_batch_cost: 2.83407 sec, avg_samples: 96.0, avg_ips: 33.87351 images/sec.
Type : pill Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.30476, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11431 sec, avg_samples: 96.0, avg_ips: 839.85288 images/sec.
Type : pill Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.31614, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09491 sec, avg_samples: 75.0, avg_ips: 790.19332 images/sec.
Type : pill Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.25206, avg_reader_cost: 2.80535 sec, avg_batch_cost: 2.91808 sec, avg_samples: 96.0, avg_ips: 32.89829 images/sec.
Type : pill Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.28165, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11294 sec, avg_samples: 96.0, avg_ips: 849.97960 images/sec.
Type : pill Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.32741, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.09465 sec, avg_samples: 75.0, avg_ips: 792.36882 images/sec.
Type : pill Test [ Epoch 8/256 ] test_cost: 10.040796 sec max_auc: 0.87998 roc_auc : 0.879978.
Type : pill Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.32086, avg_reader_cost: 2.84827 sec, avg_batch_cost: 2.96138 sec, avg_samples: 96.0, avg_ips: 32.41727 images/sec.
Type : pill Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.37782, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11223 sec, avg_samples: 96.0, avg_ips: 855.38033 images/sec.
Type : pill Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.33854, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09360 sec, avg_samples: 75.0, avg_ips: 801.27563 images/sec.
Type : pill Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.31235, avg_reader_cost: 2.77663 sec, avg_batch_cost: 2.88963 sec, avg_samples: 96.0, avg_ips: 33.22221 images/sec.
Type : pill Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.30814, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11115 sec, avg_samples: 96.0, avg_ips: 863.66415 images/sec.
Type : pill Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.26298, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.09682 sec, avg_samples: 75.0, avg_ips: 774.64195 images/sec.
Type : pill Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.32009, avg_reader_cost: 2.77574 sec, avg_batch_cost: 2.88849 sec, avg_samples: 96.0, avg_ips: 33.23539 images/sec.
Type : pill Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.31429, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11174 sec, avg_samples: 96.0, avg_ips: 859.11626 images/sec.
Type : pill Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.28459, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09422 sec, avg_samples: 75.0, avg_ips: 795.99790 images/sec.
Type : pill Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.27481, avg_reader_cost: 2.76558 sec, avg_batch_cost: 2.87365 sec, avg_samples: 96.0, avg_ips: 33.40698 images/sec.
Type : pill Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.25959, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10726 sec, avg_samples: 96.0, avg_ips: 895.02154 images/sec.
Type : pill Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.27776, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.08657 sec, avg_samples: 75.0, avg_ips: 866.39602 images/sec.
Type : pill Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.30423, avg_reader_cost: 2.78443 sec, avg_batch_cost: 2.89013 sec, avg_samples: 96.0, avg_ips: 33.21645 images/sec.
Type : pill Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.26412, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10399 sec, avg_samples: 96.0, avg_ips: 923.13113 images/sec.
Type : pill Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.25713, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.08713 sec, avg_samples: 75.0, avg_ips: 860.81032 images/sec.
Type : pill Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.24432, avg_reader_cost: 3.01604 sec, avg_batch_cost: 3.12180 sec, avg_samples: 96.0, avg_ips: 30.75147 images/sec.
Type : pill Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.29884, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10588 sec, avg_samples: 96.0, avg_ips: 906.65192 images/sec.
Type : pill Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.24988, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.08655 sec, avg_samples: 75.0, avg_ips: 866.53922 images/sec.
Type : pill Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.27217, avg_reader_cost: 2.44337 sec, avg_batch_cost: 2.54956 sec, avg_samples: 96.0, avg_ips: 37.65353 images/sec.
Type : pill Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.25744, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10567 sec, avg_samples: 96.0, avg_ips: 908.52990 images/sec.
Type : pill Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.26880, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08717 sec, avg_samples: 75.0, avg_ips: 860.41712 images/sec.
Type : pill Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.20198, avg_reader_cost: 2.52033 sec, avg_batch_cost: 2.62616 sec, avg_samples: 96.0, avg_ips: 36.55530 images/sec.
Type : pill Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.23462, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10601 sec, avg_samples: 96.0, avg_ips: 905.56103 images/sec.
Type : pill Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.20707, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.08703 sec, avg_samples: 75.0, avg_ips: 861.79607 images/sec.
Type : pill Test [ Epoch 16/256 ] test_cost: 9.326550 sec max_auc: 0.89225 roc_auc : 0.892253.
Type : pill Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.27865, avg_reader_cost: 2.84214 sec, avg_batch_cost: 2.95628 sec, avg_samples: 96.0, avg_ips: 32.47326 images/sec.
Type : pill Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.24956, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11596 sec, avg_samples: 96.0, avg_ips: 827.84188 images/sec.
Type : pill Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.27801, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.09770 sec, avg_samples: 75.0, avg_ips: 767.67014 images/sec.
Type : pill Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.23106, avg_reader_cost: 3.00656 sec, avg_batch_cost: 3.12087 sec, avg_samples: 96.0, avg_ips: 30.76067 images/sec.
Type : pill Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.24478, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11335 sec, avg_samples: 96.0, avg_ips: 846.90819 images/sec.
Type : pill Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.29027, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09511 sec, avg_samples: 75.0, avg_ips: 788.59077 images/sec.
Type : pill Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.24915, avg_reader_cost: 2.56958 sec, avg_batch_cost: 2.68262 sec, avg_samples: 96.0, avg_ips: 35.78588 images/sec.
Type : pill Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.23122, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11337 sec, avg_samples: 96.0, avg_ips: 846.81557 images/sec.
Type : pill Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.22881, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09447 sec, avg_samples: 75.0, avg_ips: 793.86656 images/sec.
Type : pill Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.26136, avg_reader_cost: 2.60873 sec, avg_batch_cost: 2.72238 sec, avg_samples: 96.0, avg_ips: 35.26327 images/sec.
Type : pill Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.30436, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11224 sec, avg_samples: 96.0, avg_ips: 855.30584 images/sec.
Type : pill Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.32387, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09667 sec, avg_samples: 75.0, avg_ips: 775.86090 images/sec.
Type : pill Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.28354, avg_reader_cost: 2.63907 sec, avg_batch_cost: 2.75119 sec, avg_samples: 96.0, avg_ips: 34.89399 images/sec.
Type : pill Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.25686, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11301 sec, avg_samples: 96.0, avg_ips: 849.47033 images/sec.
Type : pill Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.26132, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09479 sec, avg_samples: 75.0, avg_ips: 791.21489 images/sec.
Type : pill Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.27057, avg_reader_cost: 2.14744 sec, avg_batch_cost: 2.25938 sec, avg_samples: 96.0, avg_ips: 42.48950 images/sec.
Type : pill Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.23410, avg_reader_cost: 0.13735 sec, avg_batch_cost: 0.24916 sec, avg_samples: 96.0, avg_ips: 385.29783 images/sec.
Type : pill Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.31309, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.09348 sec, avg_samples: 75.0, avg_ips: 802.34859 images/sec.
Type : pill Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.24371, avg_reader_cost: 2.60582 sec, avg_batch_cost: 2.71790 sec, avg_samples: 96.0, avg_ips: 35.32133 images/sec.
Type : pill Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.24812, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11251 sec, avg_samples: 96.0, avg_ips: 853.26860 images/sec.
Type : pill Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.27539, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09426 sec, avg_samples: 75.0, avg_ips: 795.63753 images/sec.
Type : pill Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.26643, avg_reader_cost: 2.63096 sec, avg_batch_cost: 2.74356 sec, avg_samples: 96.0, avg_ips: 34.99105 images/sec.
Type : pill Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.25439, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11418 sec, avg_samples: 96.0, avg_ips: 840.74898 images/sec.
Type : pill Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.28786, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.09414 sec, avg_samples: 75.0, avg_ips: 796.71561 images/sec.
Type : pill Test [ Epoch 24/256 ] test_cost: 9.474264 sec max_auc: 0.89225 roc_auc : 0.862793.
Type : pill Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.18433, avg_reader_cost: 2.68719 sec, avg_batch_cost: 2.80121 sec, avg_samples: 96.0, avg_ips: 34.27095 images/sec.
Type : pill Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.26576, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11362 sec, avg_samples: 96.0, avg_ips: 844.93376 images/sec.
Type : pill Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.27814, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.09485 sec, avg_samples: 75.0, avg_ips: 790.70576 images/sec.
Type : pill Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.24614, avg_reader_cost: 2.90997 sec, avg_batch_cost: 3.02253 sec, avg_samples: 96.0, avg_ips: 31.76150 images/sec.
Type : pill Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.25169, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11394 sec, avg_samples: 96.0, avg_ips: 842.56281 images/sec.
Type : pill Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.26339, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09545 sec, avg_samples: 75.0, avg_ips: 785.74055 images/sec.
Type : pill Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.25467, avg_reader_cost: 2.40518 sec, avg_batch_cost: 2.51799 sec, avg_samples: 96.0, avg_ips: 38.12561 images/sec.
Type : pill Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.28472, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11170 sec, avg_samples: 96.0, avg_ips: 859.43716 images/sec.
Type : pill Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.23067, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.09465 sec, avg_samples: 75.0, avg_ips: 792.38679 images/sec.
Type : pill Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.27405, avg_reader_cost: 2.95796 sec, avg_batch_cost: 3.07098 sec, avg_samples: 96.0, avg_ips: 31.26039 images/sec.
Type : pill Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.26040, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11775 sec, avg_samples: 96.0, avg_ips: 815.28546 images/sec.
Type : pill Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.28173, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.09484 sec, avg_samples: 75.0, avg_ips: 790.78925 images/sec.
Type : pill Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.23845, avg_reader_cost: 2.86712 sec, avg_batch_cost: 2.98002 sec, avg_samples: 96.0, avg_ips: 32.21453 images/sec.
Type : pill Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.25840, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11145 sec, avg_samples: 96.0, avg_ips: 861.37499 images/sec.
Type : pill Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.18443, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09490 sec, avg_samples: 75.0, avg_ips: 790.34222 images/sec.
Type : pill Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.23190, avg_reader_cost: 2.94416 sec, avg_batch_cost: 3.05599 sec, avg_samples: 96.0, avg_ips: 31.41370 images/sec.
Type : pill Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.22745, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11250 sec, avg_samples: 96.0, avg_ips: 853.36082 images/sec.
Type : pill Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.20206, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09422 sec, avg_samples: 75.0, avg_ips: 795.99790 images/sec.
Type : pill Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.29215, avg_reader_cost: 2.71363 sec, avg_batch_cost: 2.82736 sec, avg_samples: 96.0, avg_ips: 33.95397 images/sec.
Type : pill Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.20026, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11160 sec, avg_samples: 96.0, avg_ips: 860.25057 images/sec.
Type : pill Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.24982, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.09331 sec, avg_samples: 75.0, avg_ips: 803.80216 images/sec.
Type : pill Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.23592, avg_reader_cost: 3.03939 sec, avg_batch_cost: 3.15272 sec, avg_samples: 96.0, avg_ips: 30.44987 images/sec.
Type : pill Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.30794, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11382 sec, avg_samples: 96.0, avg_ips: 843.46294 images/sec.
Type : pill Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.25864, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09458 sec, avg_samples: 75.0, avg_ips: 792.96204 images/sec.
Type : pill Test [ Epoch 32/256 ] test_cost: 10.689833 sec max_auc: 0.91026 roc_auc : 0.910256.
Type : pill Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.23450, avg_reader_cost: 2.83868 sec, avg_batch_cost: 2.95268 sec, avg_samples: 96.0, avg_ips: 32.51288 images/sec.
Type : pill Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.26281, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11419 sec, avg_samples: 96.0, avg_ips: 840.69281 images/sec.
Type : pill Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.24124, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.09639 sec, avg_samples: 75.0, avg_ips: 778.12743 images/sec.
Type : pill Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.25127, avg_reader_cost: 2.83134 sec, avg_batch_cost: 2.94359 sec, avg_samples: 96.0, avg_ips: 32.61328 images/sec.
Type : pill Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.24279, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11305 sec, avg_samples: 96.0, avg_ips: 849.19085 images/sec.
Type : pill Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.27901, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.09396 sec, avg_samples: 75.0, avg_ips: 798.22174 images/sec.
Type : pill Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.18295, avg_reader_cost: 2.69800 sec, avg_batch_cost: 2.80974 sec, avg_samples: 96.0, avg_ips: 34.16683 images/sec.
Type : pill Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.23981, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11182 sec, avg_samples: 96.0, avg_ips: 858.51361 images/sec.
Type : pill Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.24266, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.09433 sec, avg_samples: 75.0, avg_ips: 795.05637 images/sec.
Type : pill Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.25782, avg_reader_cost: 2.74115 sec, avg_batch_cost: 2.85377 sec, avg_samples: 96.0, avg_ips: 33.63968 images/sec.
Type : pill Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.23754, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11102 sec, avg_samples: 96.0, avg_ips: 864.72694 images/sec.
Type : pill Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.27407, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.09278 sec, avg_samples: 75.0, avg_ips: 808.37327 images/sec.
Type : pill Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.21039, avg_reader_cost: 2.56722 sec, avg_batch_cost: 2.67314 sec, avg_samples: 96.0, avg_ips: 35.91276 images/sec.
Type : pill Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.24311, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10421 sec, avg_samples: 96.0, avg_ips: 921.18605 images/sec.
Type : pill Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.25715, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.08824 sec, avg_samples: 75.0, avg_ips: 849.99460 images/sec.
Type : pill Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.28132, avg_reader_cost: 2.83873 sec, avg_batch_cost: 2.95111 sec, avg_samples: 96.0, avg_ips: 32.53011 images/sec.
Type : pill Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.20288, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11127 sec, avg_samples: 96.0, avg_ips: 862.74814 images/sec.
Type : pill Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.28539, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.09397 sec, avg_samples: 75.0, avg_ips: 798.15490 images/sec.
Type : pill Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.20566, avg_reader_cost: 2.59980 sec, avg_batch_cost: 2.71201 sec, avg_samples: 96.0, avg_ips: 35.39813 images/sec.
Type : pill Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.25921, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11110 sec, avg_samples: 96.0, avg_ips: 864.09415 images/sec.
Type : pill Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.20097, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.09433 sec, avg_samples: 75.0, avg_ips: 795.05035 images/sec.
Type : pill Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.24038, avg_reader_cost: 2.59684 sec, avg_batch_cost: 2.70966 sec, avg_samples: 96.0, avg_ips: 35.42875 images/sec.
Type : pill Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.25178, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11299 sec, avg_samples: 96.0, avg_ips: 849.64599 images/sec.
Type : pill Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.26702, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.09381 sec, avg_samples: 75.0, avg_ips: 799.47544 images/sec.
Type : pill Test [ Epoch 40/256 ] test_cost: 9.529909 sec max_auc: 0.93781 roc_auc : 0.937807.
Type : pill Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.23397, avg_reader_cost: 2.63887 sec, avg_batch_cost: 2.75035 sec, avg_samples: 96.0, avg_ips: 34.90463 images/sec.
Type : pill Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.28397, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11046 sec, avg_samples: 96.0, avg_ips: 869.08129 images/sec.
Type : pill Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.21254, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.09501 sec, avg_samples: 75.0, avg_ips: 789.37043 images/sec.
Type : pill Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.24164, avg_reader_cost: 2.57256 sec, avg_batch_cost: 2.68424 sec, avg_samples: 96.0, avg_ips: 35.76431 images/sec.
Type : pill Train [ Epoch 42/256 iter 2 ] lr: 0.02302, loss: 0.24417, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11115 sec, avg_samples: 96.0, avg_ips: 863.66230 images/sec.
