
############################
training hazelnut
############################

Type : hazelnut Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.28789, avg_reader_cost: 3.20340 sec, avg_batch_cost: 3.31736 sec, avg_samples: 96.0, avg_ips: 28.93864 images/sec.
Type : hazelnut Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.28670, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10403 sec, avg_samples: 96.0, avg_ips: 922.78629 images/sec.
Type : hazelnut Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.22732, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10370 sec, avg_samples: 96.0, avg_ips: 925.74591 images/sec.
Type : hazelnut Train [ Epoch 7/256 iter 4 ] lr: 0.02984, loss: 0.29792, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10541 sec, avg_samples: 96.0, avg_ips: 910.70190 images/sec.
Type : hazelnut Train [ Epoch 7/256 iter 5 ] lr: 0.02984, loss: 0.17151, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02518 sec, avg_samples: 7.0, avg_ips: 278.01572 images/sec.
Type : hazelnut Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.31330, avg_reader_cost: 2.03390 sec, avg_batch_cost: 2.13877 sec, avg_samples: 96.0, avg_ips: 44.88561 images/sec.
Type : hazelnut Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.27185, avg_reader_cost: 0.03689 sec, avg_batch_cost: 0.14027 sec, avg_samples: 96.0, avg_ips: 684.39906 images/sec.
Type : hazelnut Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.22148, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10436 sec, avg_samples: 96.0, avg_ips: 919.87706 images/sec.
Type : hazelnut Train [ Epoch 8/256 iter 4 ] lr: 0.02978, loss: 0.19372, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10501 sec, avg_samples: 96.0, avg_ips: 914.22120 images/sec.
Type : hazelnut Train [ Epoch 8/256 iter 5 ] lr: 0.02978, loss: 0.18637, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02477 sec, avg_samples: 7.0, avg_ips: 282.65409 images/sec.
Type : hazelnut Test [ Epoch 8/256 ] test_cost: 9.733644 sec max_auc: 0.94357 roc_auc : 0.943571.
Type : hazelnut Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.22754, avg_reader_cost: 2.52323 sec, avg_batch_cost: 2.63605 sec, avg_samples: 96.0, avg_ips: 36.41808 images/sec.
Type : hazelnut Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.14053, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11193 sec, avg_samples: 96.0, avg_ips: 857.64867 images/sec.
Type : hazelnut Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.29353, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11238 sec, avg_samples: 96.0, avg_ips: 854.25882 images/sec.
Type : hazelnut Train [ Epoch 9/256 iter 4 ] lr: 0.02971, loss: 0.23315, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11294 sec, avg_samples: 96.0, avg_ips: 849.97242 images/sec.
Type : hazelnut Train [ Epoch 9/256 iter 5 ] lr: 0.02971, loss: 0.24971, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03620 sec, avg_samples: 7.0, avg_ips: 193.39412 images/sec.
Type : hazelnut Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.21214, avg_reader_cost: 2.66919 sec, avg_batch_cost: 2.78056 sec, avg_samples: 96.0, avg_ips: 34.52547 images/sec.
Type : hazelnut Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.26164, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11262 sec, avg_samples: 96.0, avg_ips: 852.39253 images/sec.
Type : hazelnut Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.21056, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11352 sec, avg_samples: 96.0, avg_ips: 845.69330 images/sec.
Type : hazelnut Train [ Epoch 10/256 iter 4 ] lr: 0.02964, loss: 0.22321, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11192 sec, avg_samples: 96.0, avg_ips: 857.74184 images/sec.
Type : hazelnut Train [ Epoch 10/256 iter 5 ] lr: 0.02964, loss: 0.22649, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.03933 sec, avg_samples: 7.0, avg_ips: 177.99519 images/sec.
Type : hazelnut Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.21077, avg_reader_cost: 2.44759 sec, avg_batch_cost: 2.55323 sec, avg_samples: 96.0, avg_ips: 37.59941 images/sec.
Type : hazelnut Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.23922, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10467 sec, avg_samples: 96.0, avg_ips: 917.20125 images/sec.
Type : hazelnut Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.36048, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10775 sec, avg_samples: 96.0, avg_ips: 890.92418 images/sec.
Type : hazelnut Train [ Epoch 11/256 iter 4 ] lr: 0.02955, loss: 0.22984, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10503 sec, avg_samples: 96.0, avg_ips: 914.05932 images/sec.
Type : hazelnut Train [ Epoch 11/256 iter 5 ] lr: 0.02955, loss: 0.11996, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02501 sec, avg_samples: 7.0, avg_ips: 279.85214 images/sec.
Type : hazelnut Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.22723, avg_reader_cost: 2.50666 sec, avg_batch_cost: 2.61861 sec, avg_samples: 96.0, avg_ips: 36.66072 images/sec.
Type : hazelnut Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.26129, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11201 sec, avg_samples: 96.0, avg_ips: 857.03713 images/sec.
Type : hazelnut Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.22090, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11097 sec, avg_samples: 96.0, avg_ips: 865.10967 images/sec.
Type : hazelnut Train [ Epoch 12/256 iter 4 ] lr: 0.02946, loss: 0.24559, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11244 sec, avg_samples: 96.0, avg_ips: 853.79691 images/sec.
Type : hazelnut Train [ Epoch 12/256 iter 5 ] lr: 0.02946, loss: 0.19140, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.03777 sec, avg_samples: 7.0, avg_ips: 185.35668 images/sec.
Type : hazelnut Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.22050, avg_reader_cost: 2.01230 sec, avg_batch_cost: 2.12456 sec, avg_samples: 96.0, avg_ips: 45.18580 images/sec.
Type : hazelnut Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.23587, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11869 sec, avg_samples: 96.0, avg_ips: 808.80688 images/sec.
Type : hazelnut Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.23078, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11177 sec, avg_samples: 96.0, avg_ips: 858.92016 images/sec.
Type : hazelnut Train [ Epoch 13/256 iter 4 ] lr: 0.02935, loss: 0.16155, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.11082 sec, avg_samples: 96.0, avg_ips: 866.29529 images/sec.
Type : hazelnut Train [ Epoch 13/256 iter 5 ] lr: 0.02935, loss: 0.18082, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04401 sec, avg_samples: 7.0, avg_ips: 159.05590 images/sec.
Type : hazelnut Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.16435, avg_reader_cost: 2.61648 sec, avg_batch_cost: 2.72917 sec, avg_samples: 96.0, avg_ips: 35.17553 images/sec.
Type : hazelnut Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.23815, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.11124 sec, avg_samples: 96.0, avg_ips: 862.98297 images/sec.
Type : hazelnut Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.21964, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.11434 sec, avg_samples: 96.0, avg_ips: 839.63571 images/sec.
Type : hazelnut Train [ Epoch 14/256 iter 4 ] lr: 0.02924, loss: 0.27387, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11078 sec, avg_samples: 96.0, avg_ips: 866.58987 images/sec.
Type : hazelnut Train [ Epoch 14/256 iter 5 ] lr: 0.02924, loss: 0.20770, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03627 sec, avg_samples: 7.0, avg_ips: 193.02286 images/sec.
Type : hazelnut Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.24312, avg_reader_cost: 2.53385 sec, avg_batch_cost: 2.64647 sec, avg_samples: 96.0, avg_ips: 36.27471 images/sec.
Type : hazelnut Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.32042, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11288 sec, avg_samples: 96.0, avg_ips: 850.43199 images/sec.
Type : hazelnut Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.25294, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11255 sec, avg_samples: 96.0, avg_ips: 852.94506 images/sec.
Type : hazelnut Train [ Epoch 15/256 iter 4 ] lr: 0.02912, loss: 0.21252, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10526 sec, avg_samples: 96.0, avg_ips: 912.04893 images/sec.
Type : hazelnut Train [ Epoch 15/256 iter 5 ] lr: 0.02912, loss: 0.14184, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.02812 sec, avg_samples: 7.0, avg_ips: 248.89691 images/sec.
Type : hazelnut Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.24010, avg_reader_cost: 2.56836 sec, avg_batch_cost: 2.67439 sec, avg_samples: 96.0, avg_ips: 35.89603 images/sec.
Type : hazelnut Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.23615, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.10521 sec, avg_samples: 96.0, avg_ips: 912.48710 images/sec.
Type : hazelnut Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.20725, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10696 sec, avg_samples: 96.0, avg_ips: 897.52130 images/sec.
Type : hazelnut Train [ Epoch 16/256 iter 4 ] lr: 0.02899, loss: 0.24726, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10487 sec, avg_samples: 96.0, avg_ips: 915.37676 images/sec.
Type : hazelnut Train [ Epoch 16/256 iter 5 ] lr: 0.02899, loss: 0.11338, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02551 sec, avg_samples: 7.0, avg_ips: 274.35782 images/sec.
Type : hazelnut Test [ Epoch 16/256 ] test_cost: 9.689330 sec max_auc: 0.94357 roc_auc : 0.934643.
Type : hazelnut Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.24134, avg_reader_cost: 2.48837 sec, avg_batch_cost: 2.60155 sec, avg_samples: 96.0, avg_ips: 36.90107 images/sec.
Type : hazelnut Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.23415, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11415 sec, avg_samples: 96.0, avg_ips: 841.01239 images/sec.
Type : hazelnut Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.16228, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11265 sec, avg_samples: 96.0, avg_ips: 852.16162 images/sec.
Type : hazelnut Train [ Epoch 17/256 iter 4 ] lr: 0.02886, loss: 0.16302, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11204 sec, avg_samples: 96.0, avg_ips: 856.85657 images/sec.
Type : hazelnut Train [ Epoch 17/256 iter 5 ] lr: 0.02886, loss: 0.17724, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.03999 sec, avg_samples: 7.0, avg_ips: 175.03460 images/sec.
Type : hazelnut Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.24621, avg_reader_cost: 2.42359 sec, avg_batch_cost: 2.53067 sec, avg_samples: 96.0, avg_ips: 37.93459 images/sec.
Type : hazelnut Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.15285, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10949 sec, avg_samples: 96.0, avg_ips: 876.75297 images/sec.
Type : hazelnut Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.17394, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10498 sec, avg_samples: 96.0, avg_ips: 914.46204 images/sec.
Type : hazelnut Train [ Epoch 18/256 iter 4 ] lr: 0.02871, loss: 0.23763, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10357 sec, avg_samples: 96.0, avg_ips: 926.94575 images/sec.
Type : hazelnut Train [ Epoch 18/256 iter 5 ] lr: 0.02871, loss: 0.16507, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02467 sec, avg_samples: 7.0, avg_ips: 283.72756 images/sec.
Type : hazelnut Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.19928, avg_reader_cost: 2.48184 sec, avg_batch_cost: 2.59025 sec, avg_samples: 96.0, avg_ips: 37.06206 images/sec.
Type : hazelnut Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.18446, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10488 sec, avg_samples: 96.0, avg_ips: 915.32682 images/sec.
Type : hazelnut Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.19071, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10568 sec, avg_samples: 96.0, avg_ips: 908.42946 images/sec.
Type : hazelnut Train [ Epoch 19/256 iter 4 ] lr: 0.02856, loss: 0.23113, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.10348 sec, avg_samples: 96.0, avg_ips: 927.75735 images/sec.
Type : hazelnut Train [ Epoch 19/256 iter 5 ] lr: 0.02856, loss: 0.36523, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.02925 sec, avg_samples: 7.0, avg_ips: 239.30140 images/sec.
Type : hazelnut Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.41159, avg_reader_cost: 2.55783 sec, avg_batch_cost: 2.66366 sec, avg_samples: 96.0, avg_ips: 36.04061 images/sec.
Type : hazelnut Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.25930, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10471 sec, avg_samples: 96.0, avg_ips: 916.81072 images/sec.
Type : hazelnut Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.27610, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10812 sec, avg_samples: 96.0, avg_ips: 887.87521 images/sec.
Type : hazelnut Train [ Epoch 20/256 iter 4 ] lr: 0.02840, loss: 0.23971, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10400 sec, avg_samples: 96.0, avg_ips: 923.07611 images/sec.
Type : hazelnut Train [ Epoch 20/256 iter 5 ] lr: 0.02840, loss: 0.14406, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02510 sec, avg_samples: 7.0, avg_ips: 278.85541 images/sec.
Type : hazelnut Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.23451, avg_reader_cost: 2.35359 sec, avg_batch_cost: 2.46057 sec, avg_samples: 96.0, avg_ips: 39.01530 images/sec.
Type : hazelnut Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.18914, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.10630 sec, avg_samples: 96.0, avg_ips: 903.07913 images/sec.
Type : hazelnut Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.19173, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10440 sec, avg_samples: 96.0, avg_ips: 919.50314 images/sec.
Type : hazelnut Train [ Epoch 21/256 iter 4 ] lr: 0.02823, loss: 0.19689, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10372 sec, avg_samples: 96.0, avg_ips: 925.58844 images/sec.
Type : hazelnut Train [ Epoch 21/256 iter 5 ] lr: 0.02823, loss: 0.06408, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.02457 sec, avg_samples: 7.0, avg_ips: 284.93637 images/sec.
Type : hazelnut Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.21979, avg_reader_cost: 2.48559 sec, avg_batch_cost: 2.59362 sec, avg_samples: 96.0, avg_ips: 37.01397 images/sec.
Type : hazelnut Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.19893, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10494 sec, avg_samples: 96.0, avg_ips: 914.83810 images/sec.
Type : hazelnut Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.20694, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.10398 sec, avg_samples: 96.0, avg_ips: 923.26660 images/sec.
Type : hazelnut Train [ Epoch 22/256 iter 4 ] lr: 0.02805, loss: 0.17328, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.10661 sec, avg_samples: 96.0, avg_ips: 900.44163 images/sec.
Type : hazelnut Train [ Epoch 22/256 iter 5 ] lr: 0.02805, loss: 0.02350, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.02650 sec, avg_samples: 7.0, avg_ips: 264.11781 images/sec.
Type : hazelnut Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.20254, avg_reader_cost: 2.02123 sec, avg_batch_cost: 2.12904 sec, avg_samples: 96.0, avg_ips: 45.09080 images/sec.
Type : hazelnut Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.20643, avg_reader_cost: 0.03949 sec, avg_batch_cost: 0.14316 sec, avg_samples: 96.0, avg_ips: 670.57230 images/sec.
Type : hazelnut Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.23770, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10408 sec, avg_samples: 96.0, avg_ips: 922.38676 images/sec.
Type : hazelnut Train [ Epoch 23/256 iter 4 ] lr: 0.02787, loss: 0.17947, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10699 sec, avg_samples: 96.0, avg_ips: 897.25730 images/sec.
Type : hazelnut Train [ Epoch 23/256 iter 5 ] lr: 0.02787, loss: 0.09017, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.02634 sec, avg_samples: 7.0, avg_ips: 265.73378 images/sec.
Type : hazelnut Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.24339, avg_reader_cost: 1.97698 sec, avg_batch_cost: 2.08472 sec, avg_samples: 96.0, avg_ips: 46.04935 images/sec.
Type : hazelnut Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.18154, avg_reader_cost: 0.13716 sec, avg_batch_cost: 0.24174 sec, avg_samples: 96.0, avg_ips: 397.12598 images/sec.
Type : hazelnut Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.14932, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11145 sec, avg_samples: 96.0, avg_ips: 861.36025 images/sec.
Type : hazelnut Train [ Epoch 24/256 iter 4 ] lr: 0.02767, loss: 0.20422, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.11204 sec, avg_samples: 96.0, avg_ips: 856.83834 images/sec.
Type : hazelnut Train [ Epoch 24/256 iter 5 ] lr: 0.02767, loss: 0.04617, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.03834 sec, avg_samples: 7.0, avg_ips: 182.59240 images/sec.
Type : hazelnut Test [ Epoch 24/256 ] test_cost: 9.114085 sec max_auc: 0.94357 roc_auc : 0.933571.
Type : hazelnut Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.27740, avg_reader_cost: 2.58545 sec, avg_batch_cost: 2.69726 sec, avg_samples: 96.0, avg_ips: 35.59174 images/sec.
Type : hazelnut Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.17659, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11274 sec, avg_samples: 96.0, avg_ips: 851.48225 images/sec.
Type : hazelnut Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.17830, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11309 sec, avg_samples: 96.0, avg_ips: 848.90440 images/sec.
