
############################
training wood
############################

Type : wood Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.59046, avg_reader_cost: 3.61244 sec, avg_batch_cost: 3.74143 sec, avg_samples: 96.0, avg_ips: 25.65866 images/sec.
Type : wood Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.09135, avg_reader_cost: 2.59398 sec, avg_batch_cost: 2.70713 sec, avg_samples: 96.0, avg_ips: 35.46197 images/sec.
Type : wood Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.12131, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11339 sec, avg_samples: 96.0, avg_ips: 846.66600 images/sec.
Type : wood Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.12496, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07832 sec, avg_samples: 55.0, avg_ips: 702.24695 images/sec.
Type : wood Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.10657, avg_reader_cost: 2.61454 sec, avg_batch_cost: 2.72709 sec, avg_samples: 96.0, avg_ips: 35.20234 images/sec.
Type : wood Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.09978, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11272 sec, avg_samples: 96.0, avg_ips: 851.70018 images/sec.
Type : wood Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.10773, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07927 sec, avg_samples: 55.0, avg_ips: 693.85099 images/sec.
Type : wood Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.08834, avg_reader_cost: 2.06975 sec, avg_batch_cost: 2.18355 sec, avg_samples: 96.0, avg_ips: 43.96504 images/sec.
Type : wood Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.14278, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11257 sec, avg_samples: 96.0, avg_ips: 852.76983 images/sec.
Type : wood Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.07439, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.08194 sec, avg_samples: 55.0, avg_ips: 671.20189 images/sec.
Type : wood Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.09017, avg_reader_cost: 2.77428 sec, avg_batch_cost: 2.89137 sec, avg_samples: 96.0, avg_ips: 33.20228 images/sec.
Type : wood Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.08240, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11677 sec, avg_samples: 96.0, avg_ips: 822.14220 images/sec.
Type : wood Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.11580, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.08113 sec, avg_samples: 55.0, avg_ips: 677.92807 images/sec.
Type : wood Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.08165, avg_reader_cost: 2.94920 sec, avg_batch_cost: 3.06373 sec, avg_samples: 96.0, avg_ips: 31.33438 images/sec.
Type : wood Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.10318, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.11455 sec, avg_samples: 96.0, avg_ips: 838.06289 images/sec.
Type : wood Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.10223, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.08195 sec, avg_samples: 55.0, avg_ips: 671.10035 images/sec.
Type : wood Test [ Epoch 16/256 ] test_cost: 8.044639 sec max_auc: 0.98772 roc_auc : 0.987719.
Type : wood Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.07882, avg_reader_cost: 2.64842 sec, avg_batch_cost: 2.76265 sec, avg_samples: 96.0, avg_ips: 34.74919 images/sec.
Type : wood Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.11987, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11661 sec, avg_samples: 96.0, avg_ips: 823.28864 images/sec.
Type : wood Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.05826, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.09328 sec, avg_samples: 55.0, avg_ips: 589.60708 images/sec.
Type : wood Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.09772, avg_reader_cost: 2.88948 sec, avg_batch_cost: 3.00271 sec, avg_samples: 96.0, avg_ips: 31.97115 images/sec.
Type : wood Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.10107, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11619 sec, avg_samples: 96.0, avg_ips: 826.23490 images/sec.
Type : wood Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.13830, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.08272 sec, avg_samples: 55.0, avg_ips: 664.86071 images/sec.
Type : wood Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.10808, avg_reader_cost: 2.72694 sec, avg_batch_cost: 2.83968 sec, avg_samples: 96.0, avg_ips: 33.80661 images/sec.
Type : wood Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.05239, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11380 sec, avg_samples: 96.0, avg_ips: 843.57781 images/sec.
Type : wood Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.08453, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.08048 sec, avg_samples: 55.0, avg_ips: 683.38257 images/sec.
Type : wood Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.03793, avg_reader_cost: 2.37993 sec, avg_batch_cost: 2.49419 sec, avg_samples: 96.0, avg_ips: 38.48951 images/sec.
Type : wood Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.08578, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11250 sec, avg_samples: 96.0, avg_ips: 853.33189 images/sec.
Type : wood Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.07506, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.07905 sec, avg_samples: 55.0, avg_ips: 695.76791 images/sec.
Type : wood Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.11890, avg_reader_cost: 2.54416 sec, avg_batch_cost: 2.65807 sec, avg_samples: 96.0, avg_ips: 36.11639 images/sec.
Type : wood Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.08134, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11242 sec, avg_samples: 96.0, avg_ips: 853.94720 images/sec.
Type : wood Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.10809, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.08367 sec, avg_samples: 55.0, avg_ips: 657.36009 images/sec.
Type : wood Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.17183, avg_reader_cost: 2.82201 sec, avg_batch_cost: 2.94267 sec, avg_samples: 96.0, avg_ips: 32.62342 images/sec.
Type : wood Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.09502, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11339 sec, avg_samples: 96.0, avg_ips: 846.64108 images/sec.
Type : wood Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.07220, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.07763 sec, avg_samples: 55.0, avg_ips: 708.51906 images/sec.
Type : wood Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.14047, avg_reader_cost: 2.49535 sec, avg_batch_cost: 2.60889 sec, avg_samples: 96.0, avg_ips: 36.79730 images/sec.
Type : wood Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.07127, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11517 sec, avg_samples: 96.0, avg_ips: 833.58318 images/sec.
Type : wood Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.12010, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.07931 sec, avg_samples: 55.0, avg_ips: 693.47971 images/sec.
Type : wood Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.08855, avg_reader_cost: 2.61819 sec, avg_batch_cost: 2.73220 sec, avg_samples: 96.0, avg_ips: 35.13649 images/sec.
Type : wood Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.09737, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11322 sec, avg_samples: 96.0, avg_ips: 847.90155 images/sec.
Type : wood Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.03939, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.07863 sec, avg_samples: 55.0, avg_ips: 699.44490 images/sec.
Type : wood Test [ Epoch 24/256 ] test_cost: 8.065523 sec max_auc: 0.98772 roc_auc : 0.977193.
Type : wood Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.13321, avg_reader_cost: 2.81228 sec, avg_batch_cost: 2.92782 sec, avg_samples: 96.0, avg_ips: 32.78893 images/sec.
Type : wood Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.10901, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.10587 sec, avg_samples: 96.0, avg_ips: 906.80710 images/sec.
Type : wood Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.04074, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07532 sec, avg_samples: 55.0, avg_ips: 730.22231 images/sec.
Type : wood Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.04796, avg_reader_cost: 2.79299 sec, avg_batch_cost: 2.91956 sec, avg_samples: 96.0, avg_ips: 32.88168 images/sec.
Type : wood Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.06223, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11518 sec, avg_samples: 96.0, avg_ips: 833.50553 images/sec.
Type : wood Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.05489, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.08020 sec, avg_samples: 55.0, avg_ips: 685.79406 images/sec.
Type : wood Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.11606, avg_reader_cost: 2.58705 sec, avg_batch_cost: 2.70073 sec, avg_samples: 96.0, avg_ips: 35.54597 images/sec.
Type : wood Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.04019, avg_reader_cost: 0.05337 sec, avg_batch_cost: 0.16537 sec, avg_samples: 96.0, avg_ips: 580.52399 images/sec.
Type : wood Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.07398, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07879 sec, avg_samples: 55.0, avg_ips: 698.02689 images/sec.
Type : wood Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.09262, avg_reader_cost: 1.99380 sec, avg_batch_cost: 2.10713 sec, avg_samples: 96.0, avg_ips: 45.55958 images/sec.
Type : wood Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.06643, avg_reader_cost: 0.34709 sec, avg_batch_cost: 0.45940 sec, avg_samples: 96.0, avg_ips: 208.96911 images/sec.
Type : wood Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.10390, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.08040 sec, avg_samples: 55.0, avg_ips: 684.09997 images/sec.
Type : wood Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.07303, avg_reader_cost: 2.04651 sec, avg_batch_cost: 2.16070 sec, avg_samples: 96.0, avg_ips: 44.43009 images/sec.
Type : wood Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.06607, avg_reader_cost: 0.38501 sec, avg_batch_cost: 0.49768 sec, avg_samples: 96.0, avg_ips: 192.89487 images/sec.
Type : wood Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.08432, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.07986 sec, avg_samples: 55.0, avg_ips: 688.67464 images/sec.
Type : wood Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.05854, avg_reader_cost: 2.97405 sec, avg_batch_cost: 3.08795 sec, avg_samples: 96.0, avg_ips: 31.08858 images/sec.
Type : wood Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.06477, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11865 sec, avg_samples: 96.0, avg_ips: 809.11894 images/sec.
Type : wood Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.10055, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.08209 sec, avg_samples: 55.0, avg_ips: 669.96797 images/sec.
Type : wood Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.04786, avg_reader_cost: 2.63491 sec, avg_batch_cost: 2.74959 sec, avg_samples: 96.0, avg_ips: 34.91429 images/sec.
Type : wood Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.06459, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11670 sec, avg_samples: 96.0, avg_ips: 822.59905 images/sec.
Type : wood Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.02384, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.08239 sec, avg_samples: 55.0, avg_ips: 667.57163 images/sec.
Type : wood Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.06975, avg_reader_cost: 2.58808 sec, avg_batch_cost: 2.70214 sec, avg_samples: 96.0, avg_ips: 35.52743 images/sec.
Type : wood Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.01337, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11415 sec, avg_samples: 96.0, avg_ips: 841.01942 images/sec.
Type : wood Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.08330, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07879 sec, avg_samples: 55.0, avg_ips: 698.09871 images/sec.
Type : wood Test [ Epoch 32/256 ] test_cost: 8.724630 sec max_auc: 0.98772 roc_auc : 0.982456.
Type : wood Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.11497, avg_reader_cost: 2.79576 sec, avg_batch_cost: 2.91044 sec, avg_samples: 96.0, avg_ips: 32.98466 images/sec.
Type : wood Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.03835, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11187 sec, avg_samples: 96.0, avg_ips: 858.11658 images/sec.
Type : wood Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.08523, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.07897 sec, avg_samples: 55.0, avg_ips: 696.46320 images/sec.
Type : wood Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.05414, avg_reader_cost: 2.50694 sec, avg_batch_cost: 2.62064 sec, avg_samples: 96.0, avg_ips: 36.63224 images/sec.
Type : wood Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.05767, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11401 sec, avg_samples: 96.0, avg_ips: 841.99724 images/sec.
Type : wood Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.06992, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.08112 sec, avg_samples: 55.0, avg_ips: 677.97788 images/sec.
Type : wood Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.03991, avg_reader_cost: 2.62160 sec, avg_batch_cost: 2.73620 sec, avg_samples: 96.0, avg_ips: 35.08518 images/sec.
Type : wood Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.06603, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11664 sec, avg_samples: 96.0, avg_ips: 823.07827 images/sec.
Type : wood Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.07820, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.08118 sec, avg_samples: 55.0, avg_ips: 677.53184 images/sec.
Type : wood Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.08106, avg_reader_cost: 2.61060 sec, avg_batch_cost: 2.72415 sec, avg_samples: 96.0, avg_ips: 35.24034 images/sec.
Type : wood Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.05700, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11354 sec, avg_samples: 96.0, avg_ips: 845.49618 images/sec.
Type : wood Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.03520, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.07877 sec, avg_samples: 55.0, avg_ips: 698.20858 images/sec.
Type : wood Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.10019, avg_reader_cost: 2.76639 sec, avg_batch_cost: 2.88927 sec, avg_samples: 96.0, avg_ips: 33.22643 images/sec.
Type : wood Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.04760, avg_reader_cost: 0.00037 sec, avg_batch_cost: 0.11539 sec, avg_samples: 96.0, avg_ips: 831.94869 images/sec.
Type : wood Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.03403, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.07967 sec, avg_samples: 55.0, avg_ips: 690.34603 images/sec.
Type : wood Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.06815, avg_reader_cost: 2.09295 sec, avg_batch_cost: 2.20620 sec, avg_samples: 96.0, avg_ips: 43.51364 images/sec.
Type : wood Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.05787, avg_reader_cost: 0.35874 sec, avg_batch_cost: 0.47113 sec, avg_samples: 96.0, avg_ips: 203.76515 images/sec.
Type : wood Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.03032, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.07982 sec, avg_samples: 55.0, avg_ips: 689.04902 images/sec.
Type : wood Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.06472, avg_reader_cost: 2.28188 sec, avg_batch_cost: 2.39520 sec, avg_samples: 96.0, avg_ips: 40.08011 images/sec.
Type : wood Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.02081, avg_reader_cost: 0.16822 sec, avg_batch_cost: 0.28273 sec, avg_samples: 96.0, avg_ips: 339.54100 images/sec.
Type : wood Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.05161, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.08066 sec, avg_samples: 55.0, avg_ips: 681.88776 images/sec.
Type : wood Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.06291, avg_reader_cost: 2.70812 sec, avg_batch_cost: 2.82509 sec, avg_samples: 96.0, avg_ips: 33.98117 images/sec.
Type : wood Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.05087, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.11769 sec, avg_samples: 96.0, avg_ips: 815.67358 images/sec.
Type : wood Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.03357, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.07945 sec, avg_samples: 55.0, avg_ips: 692.24360 images/sec.
Type : wood Test [ Epoch 40/256 ] test_cost: 7.952011 sec max_auc: 0.98772 roc_auc : 0.981579.
Type : wood Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.05268, avg_reader_cost: 2.86912 sec, avg_batch_cost: 2.98596 sec, avg_samples: 96.0, avg_ips: 32.15051 images/sec.
Type : wood Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.08638, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11309 sec, avg_samples: 96.0, avg_ips: 848.90440 images/sec.
Type : wood Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.06559, avg_reader_cost: 0.00048 sec, avg_batch_cost: 0.08216 sec, avg_samples: 55.0, avg_ips: 669.41195 images/sec.
Type : wood Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.00906, avg_reader_cost: 3.02238 sec, avg_batch_cost: 3.13790 sec, avg_samples: 96.0, avg_ips: 30.59368 images/sec.
Type : wood Train [ Epoch 42/256 iter 2 ] lr: 0.02302, loss: 0.08361, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11524 sec, avg_samples: 96.0, avg_ips: 833.05544 images/sec.
