
############################
training metal_nut
############################

Type : metal_nut Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.65859, avg_reader_cost: 2.59916 sec, avg_batch_cost: 2.72412 sec, avg_samples: 96.0, avg_ips: 35.24075 images/sec.
Type : metal_nut Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.27779, avg_reader_cost: 2.91492 sec, avg_batch_cost: 3.02903 sec, avg_samples: 96.0, avg_ips: 31.69333 images/sec.
Type : metal_nut Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.16073, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11287 sec, avg_samples: 96.0, avg_ips: 850.52540 images/sec.
Type : metal_nut Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.10799, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.05281 sec, avg_samples: 28.0, avg_ips: 530.16478 images/sec.
Type : metal_nut Test [ Epoch 8/256 ] test_cost: 5.797343 sec max_auc: 0.89541 roc_auc : 0.895406.
Type : metal_nut Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.17616, avg_reader_cost: 2.64688 sec, avg_batch_cost: 2.76151 sec, avg_samples: 96.0, avg_ips: 34.76358 images/sec.
Type : metal_nut Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.19613, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11426 sec, avg_samples: 96.0, avg_ips: 840.20162 images/sec.
Type : metal_nut Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.10513, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05156 sec, avg_samples: 28.0, avg_ips: 543.10765 images/sec.
Type : metal_nut Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.19636, avg_reader_cost: 2.86555 sec, avg_batch_cost: 2.97812 sec, avg_samples: 96.0, avg_ips: 32.23508 images/sec.
Type : metal_nut Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.16942, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11283 sec, avg_samples: 96.0, avg_ips: 850.81115 images/sec.
Type : metal_nut Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.07419, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05186 sec, avg_samples: 28.0, avg_ips: 539.96382 images/sec.
Type : metal_nut Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.23317, avg_reader_cost: 2.51546 sec, avg_batch_cost: 2.62885 sec, avg_samples: 96.0, avg_ips: 36.51792 images/sec.
Type : metal_nut Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.27492, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11253 sec, avg_samples: 96.0, avg_ips: 853.06794 images/sec.
Type : metal_nut Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.21502, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05162 sec, avg_samples: 28.0, avg_ips: 542.39529 images/sec.
Type : metal_nut Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.19566, avg_reader_cost: 2.40989 sec, avg_batch_cost: 2.52170 sec, avg_samples: 96.0, avg_ips: 38.06960 images/sec.
Type : metal_nut Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.20244, avg_reader_cost: 0.05438 sec, avg_batch_cost: 0.16622 sec, avg_samples: 96.0, avg_ips: 577.53723 images/sec.
Type : metal_nut Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.21516, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.05235 sec, avg_samples: 28.0, avg_ips: 534.83913 images/sec.
Type : metal_nut Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.21877, avg_reader_cost: 2.62578 sec, avg_batch_cost: 2.73121 sec, avg_samples: 96.0, avg_ips: 35.14929 images/sec.
Type : metal_nut Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.21706, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.10534 sec, avg_samples: 96.0, avg_ips: 911.35738 images/sec.
Type : metal_nut Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.22830, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.04461 sec, avg_samples: 28.0, avg_ips: 627.69182 images/sec.
Type : metal_nut Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.13609, avg_reader_cost: 1.91134 sec, avg_batch_cost: 2.01943 sec, avg_samples: 96.0, avg_ips: 47.53808 images/sec.
Type : metal_nut Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.21827, avg_reader_cost: 0.26998 sec, avg_batch_cost: 0.37375 sec, avg_samples: 96.0, avg_ips: 256.85473 images/sec.
Type : metal_nut Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.16758, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.04404 sec, avg_samples: 28.0, avg_ips: 635.79649 images/sec.
Type : metal_nut Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.22217, avg_reader_cost: 2.60361 sec, avg_batch_cost: 2.70919 sec, avg_samples: 96.0, avg_ips: 35.43500 images/sec.
Type : metal_nut Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.16617, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.10394 sec, avg_samples: 96.0, avg_ips: 923.64570 images/sec.
Type : metal_nut Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.24998, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.04343 sec, avg_samples: 28.0, avg_ips: 644.66829 images/sec.
Type : metal_nut Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.18731, avg_reader_cost: 1.92264 sec, avg_batch_cost: 2.02691 sec, avg_samples: 96.0, avg_ips: 47.36267 images/sec.
Type : metal_nut Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.21994, avg_reader_cost: 0.40879 sec, avg_batch_cost: 0.51281 sec, avg_samples: 96.0, avg_ips: 187.20227 images/sec.
Type : metal_nut Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.18733, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.04356 sec, avg_samples: 28.0, avg_ips: 642.85799 images/sec.
Type : metal_nut Test [ Epoch 16/256 ] test_cost: 4.615443 sec max_auc: 0.92424 roc_auc : 0.924242.
Type : metal_nut Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.16611, avg_reader_cost: 2.61992 sec, avg_batch_cost: 2.73238 sec, avg_samples: 96.0, avg_ips: 35.13423 images/sec.
Type : metal_nut Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.20947, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11249 sec, avg_samples: 96.0, avg_ips: 853.44583 images/sec.
Type : metal_nut Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.15893, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05117 sec, avg_samples: 28.0, avg_ips: 547.18679 images/sec.
Type : metal_nut Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.19775, avg_reader_cost: 2.75123 sec, avg_batch_cost: 2.86347 sec, avg_samples: 96.0, avg_ips: 33.52579 images/sec.
Type : metal_nut Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.26297, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11164 sec, avg_samples: 96.0, avg_ips: 859.94008 images/sec.
Type : metal_nut Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.15261, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05095 sec, avg_samples: 28.0, avg_ips: 549.55785 images/sec.
Type : metal_nut Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.23806, avg_reader_cost: 2.60792 sec, avg_batch_cost: 2.72168 sec, avg_samples: 96.0, avg_ips: 35.27233 images/sec.
Type : metal_nut Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.24894, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11207 sec, avg_samples: 96.0, avg_ips: 856.58862 images/sec.
Type : metal_nut Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.29315, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.05158 sec, avg_samples: 28.0, avg_ips: 542.87417 images/sec.
Type : metal_nut Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.25517, avg_reader_cost: 2.79479 sec, avg_batch_cost: 2.90855 sec, avg_samples: 96.0, avg_ips: 33.00612 images/sec.
Type : metal_nut Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.21970, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11265 sec, avg_samples: 96.0, avg_ips: 852.23196 images/sec.
Type : metal_nut Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.23250, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.05185 sec, avg_samples: 28.0, avg_ips: 539.99114 images/sec.
Type : metal_nut Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.24940, avg_reader_cost: 2.65524 sec, avg_batch_cost: 2.76845 sec, avg_samples: 96.0, avg_ips: 34.67648 images/sec.
Type : metal_nut Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.23129, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11324 sec, avg_samples: 96.0, avg_ips: 847.74803 images/sec.
Type : metal_nut Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.20331, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.05021 sec, avg_samples: 28.0, avg_ips: 557.60489 images/sec.
Type : metal_nut Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.17404, avg_reader_cost: 2.54244 sec, avg_batch_cost: 2.65498 sec, avg_samples: 96.0, avg_ips: 36.15846 images/sec.
Type : metal_nut Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.21008, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11177 sec, avg_samples: 96.0, avg_ips: 858.90368 images/sec.
Type : metal_nut Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.21566, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.05169 sec, avg_samples: 28.0, avg_ips: 541.71727 images/sec.
Type : metal_nut Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.22979, avg_reader_cost: 2.54256 sec, avg_batch_cost: 2.65945 sec, avg_samples: 96.0, avg_ips: 36.09764 images/sec.
Type : metal_nut Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.24860, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11056 sec, avg_samples: 96.0, avg_ips: 868.33349 images/sec.
Type : metal_nut Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.14755, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.05096 sec, avg_samples: 28.0, avg_ips: 549.48842 images/sec.
Type : metal_nut Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.17796, avg_reader_cost: 2.56829 sec, avg_batch_cost: 2.67640 sec, avg_samples: 96.0, avg_ips: 35.86907 images/sec.
Type : metal_nut Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.23494, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10527 sec, avg_samples: 96.0, avg_ips: 911.97249 images/sec.
Type : metal_nut Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.17362, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.04468 sec, avg_samples: 28.0, avg_ips: 626.66356 images/sec.
Type : metal_nut Test [ Epoch 24/256 ] test_cost: 5.353749 sec max_auc: 0.92424 roc_auc : 0.922776.
Type : metal_nut Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.17692, avg_reader_cost: 2.61032 sec, avg_batch_cost: 2.72349 sec, avg_samples: 96.0, avg_ips: 35.24883 images/sec.
Type : metal_nut Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.22429, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11352 sec, avg_samples: 96.0, avg_ips: 845.70040 images/sec.
Type : metal_nut Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.16734, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05273 sec, avg_samples: 28.0, avg_ips: 530.99417 images/sec.
Type : metal_nut Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.21269, avg_reader_cost: 2.68839 sec, avg_batch_cost: 2.80111 sec, avg_samples: 96.0, avg_ips: 34.27209 images/sec.
Type : metal_nut Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.19346, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11191 sec, avg_samples: 96.0, avg_ips: 857.86245 images/sec.
Type : metal_nut Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.26493, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.05209 sec, avg_samples: 28.0, avg_ips: 537.51470 images/sec.
Type : metal_nut Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.19246, avg_reader_cost: 2.93757 sec, avg_batch_cost: 3.05030 sec, avg_samples: 96.0, avg_ips: 31.47235 images/sec.
Type : metal_nut Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.18015, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11148 sec, avg_samples: 96.0, avg_ips: 861.14471 images/sec.
Type : metal_nut Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.17624, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.05354 sec, avg_samples: 28.0, avg_ips: 523.00384 images/sec.
Type : metal_nut Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.20544, avg_reader_cost: 2.95026 sec, avg_batch_cost: 3.06472 sec, avg_samples: 96.0, avg_ips: 31.32418 images/sec.
Type : metal_nut Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.18451, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11317 sec, avg_samples: 96.0, avg_ips: 848.26237 images/sec.
Type : metal_nut Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.10633, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05349 sec, avg_samples: 28.0, avg_ips: 523.46308 images/sec.
Type : metal_nut Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.18204, avg_reader_cost: 2.95433 sec, avg_batch_cost: 3.06744 sec, avg_samples: 96.0, avg_ips: 31.29645 images/sec.
Type : metal_nut Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.18016, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11374 sec, avg_samples: 96.0, avg_ips: 844.04110 images/sec.
Type : metal_nut Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.16617, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.05316 sec, avg_samples: 28.0, avg_ips: 526.69103 images/sec.
Type : metal_nut Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.14661, avg_reader_cost: 2.92443 sec, avg_batch_cost: 3.03837 sec, avg_samples: 96.0, avg_ips: 31.59587 images/sec.
Type : metal_nut Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.15841, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11480 sec, avg_samples: 96.0, avg_ips: 836.25447 images/sec.
Type : metal_nut Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.18695, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05383 sec, avg_samples: 28.0, avg_ips: 520.17997 images/sec.
Type : metal_nut Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.21335, avg_reader_cost: 2.88390 sec, avg_batch_cost: 2.98961 sec, avg_samples: 96.0, avg_ips: 32.11124 images/sec.
Type : metal_nut Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.19631, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.10500 sec, avg_samples: 96.0, avg_ips: 914.27724 images/sec.
Type : metal_nut Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.07218, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04707 sec, avg_samples: 28.0, avg_ips: 594.80416 images/sec.
Type : metal_nut Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.21264, avg_reader_cost: 1.99912 sec, avg_batch_cost: 2.10730 sec, avg_samples: 96.0, avg_ips: 45.55600 images/sec.
Type : metal_nut Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.17755, avg_reader_cost: 0.27298 sec, avg_batch_cost: 0.37646 sec, avg_samples: 96.0, avg_ips: 255.00890 images/sec.
Type : metal_nut Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.21701, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.04490 sec, avg_samples: 28.0, avg_ips: 623.62540 images/sec.
Type : metal_nut Test [ Epoch 32/256 ] test_cost: 5.358088 sec max_auc: 0.92424 roc_auc : 0.860215.
Type : metal_nut Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.15862, avg_reader_cost: 2.59490 sec, avg_batch_cost: 2.70639 sec, avg_samples: 96.0, avg_ips: 35.47161 images/sec.
Type : metal_nut Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.17281, avg_reader_cost: 0.04080 sec, avg_batch_cost: 0.15210 sec, avg_samples: 96.0, avg_ips: 631.18116 images/sec.
Type : metal_nut Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.26398, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05184 sec, avg_samples: 28.0, avg_ips: 540.10537 images/sec.
Type : metal_nut Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.19028, avg_reader_cost: 2.70400 sec, avg_batch_cost: 2.81899 sec, avg_samples: 96.0, avg_ips: 34.05475 images/sec.
Type : metal_nut Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.24783, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11175 sec, avg_samples: 96.0, avg_ips: 859.05027 images/sec.
Type : metal_nut Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.18016, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.05256 sec, avg_samples: 28.0, avg_ips: 532.72842 images/sec.
Type : metal_nut Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.15796, avg_reader_cost: 2.57844 sec, avg_batch_cost: 2.70024 sec, avg_samples: 96.0, avg_ips: 35.55246 images/sec.
Type : metal_nut Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.18744, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11290 sec, avg_samples: 96.0, avg_ips: 850.29909 images/sec.
Type : metal_nut Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.11938, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.05327 sec, avg_samples: 28.0, avg_ips: 525.58084 images/sec.
Type : metal_nut Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.15614, avg_reader_cost: 2.80808 sec, avg_batch_cost: 2.92014 sec, avg_samples: 96.0, avg_ips: 32.87509 images/sec.
Type : metal_nut Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.17833, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11387 sec, avg_samples: 96.0, avg_ips: 843.07971 images/sec.
Type : metal_nut Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.15667, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.05303 sec, avg_samples: 28.0, avg_ips: 527.98863 images/sec.
Type : metal_nut Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.23898, avg_reader_cost: 2.81329 sec, avg_batch_cost: 2.92542 sec, avg_samples: 96.0, avg_ips: 32.81577 images/sec.
Type : metal_nut Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.18391, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11301 sec, avg_samples: 96.0, avg_ips: 849.48825 images/sec.
Type : metal_nut Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.12638, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05219 sec, avg_samples: 28.0, avg_ips: 536.45646 images/sec.
Type : metal_nut Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.16324, avg_reader_cost: 2.61925 sec, avg_batch_cost: 2.73277 sec, avg_samples: 96.0, avg_ips: 35.12923 images/sec.
Type : metal_nut Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.17995, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11316 sec, avg_samples: 96.0, avg_ips: 848.31956 images/sec.
Type : metal_nut Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.17851, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.05100 sec, avg_samples: 28.0, avg_ips: 549.07224 images/sec.
Type : metal_nut Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.20119, avg_reader_cost: 2.73739 sec, avg_batch_cost: 2.85010 sec, avg_samples: 96.0, avg_ips: 33.68304 images/sec.
Type : metal_nut Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.14493, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11218 sec, avg_samples: 96.0, avg_ips: 855.79848 images/sec.
Type : metal_nut Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.10361, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.05202 sec, avg_samples: 28.0, avg_ips: 538.21676 images/sec.
Type : metal_nut Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.16345, avg_reader_cost: 2.57667 sec, avg_batch_cost: 2.68956 sec, avg_samples: 96.0, avg_ips: 35.69356 images/sec.
Type : metal_nut Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.17497, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11342 sec, avg_samples: 96.0, avg_ips: 846.39192 images/sec.
Type : metal_nut Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.14607, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.05224 sec, avg_samples: 28.0, avg_ips: 536.02308 images/sec.
Type : metal_nut Test [ Epoch 40/256 ] test_cost: 5.857659 sec max_auc: 0.92424 roc_auc : 0.891984.
Type : metal_nut Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.14014, avg_reader_cost: 2.65080 sec, avg_batch_cost: 2.76274 sec, avg_samples: 96.0, avg_ips: 34.74814 images/sec.
Type : metal_nut Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.15399, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11271 sec, avg_samples: 96.0, avg_ips: 851.72000 images/sec.
