
############################
training bottle
############################

Type : bottle Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.34867, avg_reader_cost: 2.85896 sec, avg_batch_cost: 5.08064 sec, avg_samples: 96.0, avg_ips: 18.89526 images/sec.
Type : bottle Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.22550, avg_reader_cost: 2.51985 sec, avg_batch_cost: 2.62995 sec, avg_samples: 96.0, avg_ips: 36.50266 images/sec.
Type : bottle Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.22121, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10403 sec, avg_samples: 96.0, avg_ips: 922.80744 images/sec.
Type : bottle Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.05646, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.03223 sec, avg_samples: 17.0, avg_ips: 527.43321 images/sec.
Type : bottle Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.19106, avg_reader_cost: 2.56751 sec, avg_batch_cost: 2.67285 sec, avg_samples: 96.0, avg_ips: 35.91674 images/sec.
Type : bottle Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.18851, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.10380 sec, avg_samples: 96.0, avg_ips: 924.82736 images/sec.
Type : bottle Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.10350, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03208 sec, avg_samples: 17.0, avg_ips: 529.87900 images/sec.
Type : bottle Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.18210, avg_reader_cost: 2.30254 sec, avg_batch_cost: 2.40752 sec, avg_samples: 96.0, avg_ips: 39.87503 images/sec.
Type : bottle Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.13293, avg_reader_cost: 0.04509 sec, avg_batch_cost: 0.14803 sec, avg_samples: 96.0, avg_ips: 648.53267 images/sec.
Type : bottle Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.02400, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03297 sec, avg_samples: 17.0, avg_ips: 515.65085 images/sec.
Type : bottle Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.12755, avg_reader_cost: 1.87938 sec, avg_batch_cost: 1.98406 sec, avg_samples: 96.0, avg_ips: 48.38568 images/sec.
Type : bottle Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.16960, avg_reader_cost: 0.16862 sec, avg_batch_cost: 0.27059 sec, avg_samples: 96.0, avg_ips: 354.78396 images/sec.
Type : bottle Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.16074, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03205 sec, avg_samples: 17.0, avg_ips: 530.39140 images/sec.
Type : bottle Test [ Epoch 8/256 ] test_cost: 5.315772 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : bottle Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.37012, avg_reader_cost: 2.29167 sec, avg_batch_cost: 2.40343 sec, avg_samples: 96.0, avg_ips: 39.94292 images/sec.
Type : bottle Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.18177, avg_reader_cost: 0.04945 sec, avg_batch_cost: 0.15961 sec, avg_samples: 96.0, avg_ips: 601.45607 images/sec.
Type : bottle Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.09484, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.04176 sec, avg_samples: 17.0, avg_ips: 407.07217 images/sec.
Type : bottle Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.20992, avg_reader_cost: 2.54631 sec, avg_batch_cost: 2.65876 sec, avg_samples: 96.0, avg_ips: 36.10708 images/sec.
Type : bottle Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.21019, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11157 sec, avg_samples: 96.0, avg_ips: 860.41234 images/sec.
Type : bottle Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.15182, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03986 sec, avg_samples: 17.0, avg_ips: 426.49772 images/sec.
Type : bottle Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.13471, avg_reader_cost: 2.52631 sec, avg_batch_cost: 2.63806 sec, avg_samples: 96.0, avg_ips: 36.39031 images/sec.
Type : bottle Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.18292, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10972 sec, avg_samples: 96.0, avg_ips: 874.92598 images/sec.
Type : bottle Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.16989, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.04083 sec, avg_samples: 17.0, avg_ips: 416.33240 images/sec.
Type : bottle Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.18780, avg_reader_cost: 2.41241 sec, avg_batch_cost: 2.52507 sec, avg_samples: 96.0, avg_ips: 38.01874 images/sec.
Type : bottle Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.14043, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11070 sec, avg_samples: 96.0, avg_ips: 867.17963 images/sec.
Type : bottle Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.05886, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03927 sec, avg_samples: 17.0, avg_ips: 432.95384 images/sec.
Type : bottle Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.12345, avg_reader_cost: 2.46240 sec, avg_batch_cost: 2.57426 sec, avg_samples: 96.0, avg_ips: 37.29232 images/sec.
Type : bottle Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.13849, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11131 sec, avg_samples: 96.0, avg_ips: 862.45062 images/sec.
Type : bottle Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.22895, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03998 sec, avg_samples: 17.0, avg_ips: 425.17273 images/sec.
Type : bottle Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.19579, avg_reader_cost: 2.42635 sec, avg_batch_cost: 2.53902 sec, avg_samples: 96.0, avg_ips: 37.80986 images/sec.
Type : bottle Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.17956, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11283 sec, avg_samples: 96.0, avg_ips: 850.83632 images/sec.
Type : bottle Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.09450, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04101 sec, avg_samples: 17.0, avg_ips: 414.48824 images/sec.
Type : bottle Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.13308, avg_reader_cost: 2.30455 sec, avg_batch_cost: 2.41783 sec, avg_samples: 96.0, avg_ips: 39.70504 images/sec.
Type : bottle Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.17011, avg_reader_cost: 0.05196 sec, avg_batch_cost: 0.16133 sec, avg_samples: 96.0, avg_ips: 595.05455 images/sec.
Type : bottle Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.26309, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.03958 sec, avg_samples: 17.0, avg_ips: 429.48024 images/sec.
Type : bottle Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.17202, avg_reader_cost: 2.23015 sec, avg_batch_cost: 2.34230 sec, avg_samples: 96.0, avg_ips: 40.98535 images/sec.
Type : bottle Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.17196, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.11101 sec, avg_samples: 96.0, avg_ips: 864.78080 images/sec.
Type : bottle Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.21086, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.03961 sec, avg_samples: 17.0, avg_ips: 429.17778 images/sec.
Type : bottle Test [ Epoch 16/256 ] test_cost: 5.058374 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : bottle Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.12107, avg_reader_cost: 2.25378 sec, avg_batch_cost: 2.36536 sec, avg_samples: 96.0, avg_ips: 40.58578 images/sec.
Type : bottle Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.11898, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.11092 sec, avg_samples: 96.0, avg_ips: 865.51692 images/sec.
Type : bottle Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.12798, avg_reader_cost: 0.00041 sec, avg_batch_cost: 0.04084 sec, avg_samples: 17.0, avg_ips: 416.26677 images/sec.
Type : bottle Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.14722, avg_reader_cost: 2.50821 sec, avg_batch_cost: 2.62376 sec, avg_samples: 96.0, avg_ips: 36.58877 images/sec.
Type : bottle Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.13726, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11042 sec, avg_samples: 96.0, avg_ips: 869.39842 images/sec.
Type : bottle Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.14598, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03954 sec, avg_samples: 17.0, avg_ips: 429.92046 images/sec.
Type : bottle Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.12180, avg_reader_cost: 2.30159 sec, avg_batch_cost: 2.41442 sec, avg_samples: 96.0, avg_ips: 39.76112 images/sec.
Type : bottle Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.18333, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11269 sec, avg_samples: 96.0, avg_ips: 851.92363 images/sec.
Type : bottle Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.13108, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.04116 sec, avg_samples: 17.0, avg_ips: 413.06435 images/sec.
Type : bottle Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.08597, avg_reader_cost: 2.52651 sec, avg_batch_cost: 2.63406 sec, avg_samples: 96.0, avg_ips: 36.44571 images/sec.
Type : bottle Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.14696, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10423 sec, avg_samples: 96.0, avg_ips: 921.07015 images/sec.
Type : bottle Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.09681, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.03311 sec, avg_samples: 17.0, avg_ips: 513.45264 images/sec.
Type : bottle Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.09870, avg_reader_cost: 2.46544 sec, avg_batch_cost: 2.57800 sec, avg_samples: 96.0, avg_ips: 37.23810 images/sec.
Type : bottle Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.12854, avg_reader_cost: 0.04394 sec, avg_batch_cost: 0.15406 sec, avg_samples: 96.0, avg_ips: 623.14009 images/sec.
Type : bottle Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.10409, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.04006 sec, avg_samples: 17.0, avg_ips: 424.35542 images/sec.
Type : bottle Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.09818, avg_reader_cost: 2.26012 sec, avg_batch_cost: 2.37305 sec, avg_samples: 96.0, avg_ips: 40.45424 images/sec.
Type : bottle Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.14432, avg_reader_cost: 0.04172 sec, avg_batch_cost: 0.15271 sec, avg_samples: 96.0, avg_ips: 628.62306 images/sec.
Type : bottle Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.07401, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04286 sec, avg_samples: 17.0, avg_ips: 396.64435 images/sec.
Type : bottle Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.09234, avg_reader_cost: 2.07535 sec, avg_batch_cost: 2.18950 sec, avg_samples: 96.0, avg_ips: 43.84566 images/sec.
Type : bottle Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.11263, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.11171 sec, avg_samples: 96.0, avg_ips: 859.39497 images/sec.
Type : bottle Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.11093, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.04043 sec, avg_samples: 17.0, avg_ips: 420.51136 images/sec.
Type : bottle Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.19426, avg_reader_cost: 2.46660 sec, avg_batch_cost: 2.57209 sec, avg_samples: 96.0, avg_ips: 37.32373 images/sec.
Type : bottle Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.10299, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.10446 sec, avg_samples: 96.0, avg_ips: 919.05191 images/sec.
Type : bottle Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.05232, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.03360 sec, avg_samples: 17.0, avg_ips: 505.90074 images/sec.
Type : bottle Test [ Epoch 24/256 ] test_cost: 4.846403 sec max_auc: 1.00000 roc_auc : 1.000000.
Type : bottle Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.11481, avg_reader_cost: 2.46280 sec, avg_batch_cost: 2.56868 sec, avg_samples: 96.0, avg_ips: 37.37321 images/sec.
Type : bottle Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.11995, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10369 sec, avg_samples: 96.0, avg_ips: 925.81402 images/sec.
Type : bottle Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.09936, avg_reader_cost: 0.00014 sec, avg_batch_cost: 0.03324 sec, avg_samples: 17.0, avg_ips: 511.39777 images/sec.
Type : bottle Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.08530, avg_reader_cost: 2.60214 sec, avg_batch_cost: 2.70737 sec, avg_samples: 96.0, avg_ips: 35.45874 images/sec.
Type : bottle Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.11091, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.10398 sec, avg_samples: 96.0, avg_ips: 923.28354 images/sec.
Type : bottle Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.10142, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.03268 sec, avg_samples: 17.0, avg_ips: 520.26361 images/sec.
Type : bottle Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.10980, avg_reader_cost: 2.61845 sec, avg_batch_cost: 2.73124 sec, avg_samples: 96.0, avg_ips: 35.14893 images/sec.
Type : bottle Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.08753, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11167 sec, avg_samples: 96.0, avg_ips: 859.71057 images/sec.
Type : bottle Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.14113, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.03999 sec, avg_samples: 17.0, avg_ips: 425.06374 images/sec.
Type : bottle Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.06753, avg_reader_cost: 2.45183 sec, avg_batch_cost: 2.56441 sec, avg_samples: 96.0, avg_ips: 37.43557 images/sec.
Type : bottle Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.08690, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11115 sec, avg_samples: 96.0, avg_ips: 863.72529 images/sec.
Type : bottle Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.26737, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04079 sec, avg_samples: 17.0, avg_ips: 416.81428 images/sec.
Type : bottle Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.09052, avg_reader_cost: 1.87373 sec, avg_batch_cost: 1.98550 sec, avg_samples: 96.0, avg_ips: 48.35052 images/sec.
Type : bottle Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.08473, avg_reader_cost: 0.15049 sec, avg_batch_cost: 0.26178 sec, avg_samples: 96.0, avg_ips: 366.72713 images/sec.
Type : bottle Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.09343, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.04155 sec, avg_samples: 17.0, avg_ips: 409.12291 images/sec.
Type : bottle Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.12397, avg_reader_cost: 2.38635 sec, avg_batch_cost: 2.50102 sec, avg_samples: 96.0, avg_ips: 38.38441 images/sec.
Type : bottle Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.08531, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.11286 sec, avg_samples: 96.0, avg_ips: 850.59907 images/sec.
Type : bottle Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.08378, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04091 sec, avg_samples: 17.0, avg_ips: 415.51721 images/sec.
Type : bottle Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.15571, avg_reader_cost: 2.57589 sec, avg_batch_cost: 2.68916 sec, avg_samples: 96.0, avg_ips: 35.69883 images/sec.
Type : bottle Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.08359, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.11462 sec, avg_samples: 96.0, avg_ips: 837.53470 images/sec.
Type : bottle Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.15808, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04313 sec, avg_samples: 17.0, avg_ips: 394.11871 images/sec.
Type : bottle Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.12968, avg_reader_cost: 1.82122 sec, avg_batch_cost: 1.93420 sec, avg_samples: 96.0, avg_ips: 49.63286 images/sec.
Type : bottle Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.07909, avg_reader_cost: 0.15187 sec, avg_batch_cost: 0.26275 sec, avg_samples: 96.0, avg_ips: 365.36114 images/sec.
Type : bottle Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.09080, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.04159 sec, avg_samples: 17.0, avg_ips: 408.70783 images/sec.
Type : bottle Test [ Epoch 32/256 ] test_cost: 5.123996 sec max_auc: 1.00000 roc_auc : 0.996825.
Type : bottle Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.10813, avg_reader_cost: 2.34402 sec, avg_batch_cost: 2.45586 sec, avg_samples: 96.0, avg_ips: 39.09018 images/sec.
Type : bottle Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.06782, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11370 sec, avg_samples: 96.0, avg_ips: 844.33490 images/sec.
Type : bottle Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.06549, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.04368 sec, avg_samples: 17.0, avg_ips: 389.17544 images/sec.
Type : bottle Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.08520, avg_reader_cost: 2.58719 sec, avg_batch_cost: 2.69974 sec, avg_samples: 96.0, avg_ips: 35.55893 images/sec.
Type : bottle Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.12303, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11982 sec, avg_samples: 96.0, avg_ips: 801.18985 images/sec.
Type : bottle Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.14395, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04025 sec, avg_samples: 17.0, avg_ips: 422.41213 images/sec.
Type : bottle Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.10152, avg_reader_cost: 2.56838 sec, avg_batch_cost: 2.68095 sec, avg_samples: 96.0, avg_ips: 35.80823 images/sec.
Type : bottle Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.15680, avg_reader_cost: 0.00016 sec, avg_batch_cost: 0.11174 sec, avg_samples: 96.0, avg_ips: 859.10709 images/sec.
Type : bottle Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.01396, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.04135 sec, avg_samples: 17.0, avg_ips: 411.09011 images/sec.
Type : bottle Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.09467, avg_reader_cost: 2.47597 sec, avg_batch_cost: 2.58884 sec, avg_samples: 96.0, avg_ips: 37.08218 images/sec.
Type : bottle Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.08425, avg_reader_cost: 0.00017 sec, avg_batch_cost: 0.11217 sec, avg_samples: 96.0, avg_ips: 855.81121 images/sec.
Type : bottle Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.14745, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.04089 sec, avg_samples: 17.0, avg_ips: 415.75222 images/sec.
Type : bottle Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.07126, avg_reader_cost: 1.82399 sec, avg_batch_cost: 1.92902 sec, avg_samples: 96.0, avg_ips: 49.76624 images/sec.
Type : bottle Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.07809, avg_reader_cost: 0.25036 sec, avg_batch_cost: 0.35424 sec, avg_samples: 96.0, avg_ips: 271.00403 images/sec.
Type : bottle Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.22106, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.03276 sec, avg_samples: 17.0, avg_ips: 518.93458 images/sec.
Type : bottle Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.13585, avg_reader_cost: 2.77198 sec, avg_batch_cost: 2.88003 sec, avg_samples: 96.0, avg_ips: 33.33304 images/sec.
Type : bottle Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.07851, avg_reader_cost: 0.00013 sec, avg_batch_cost: 0.10395 sec, avg_samples: 96.0, avg_ips: 923.54401 images/sec.
Type : bottle Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.10086, avg_reader_cost: 0.00009 sec, avg_batch_cost: 0.03223 sec, avg_samples: 17.0, avg_ips: 527.46442 images/sec.
Type : bottle Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.10053, avg_reader_cost: 2.52677 sec, avg_batch_cost: 2.63991 sec, avg_samples: 96.0, avg_ips: 36.36485 images/sec.
Type : bottle Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.10562, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.11274 sec, avg_samples: 96.0, avg_ips: 851.53627 images/sec.
Type : bottle Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.08053, avg_reader_cost: 0.00018 sec, avg_batch_cost: 0.04083 sec, avg_samples: 17.0, avg_ips: 416.35914 images/sec.
Type : bottle Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.08494, avg_reader_cost: 2.36397 sec, avg_batch_cost: 2.47822 sec, avg_samples: 96.0, avg_ips: 38.73747 images/sec.
Type : bottle Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.09801, avg_reader_cost: 0.04752 sec, avg_batch_cost: 0.15951 sec, avg_samples: 96.0, avg_ips: 601.82554 images/sec.
Type : bottle Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.08281, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.04165 sec, avg_samples: 17.0, avg_ips: 408.15804 images/sec.
Type : bottle Test [ Epoch 40/256 ] test_cost: 5.446388 sec max_auc: 1.00000 roc_auc : 0.995238.
Type : bottle Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.08027, avg_reader_cost: 2.59170 sec, avg_batch_cost: 2.70684 sec, avg_samples: 96.0, avg_ips: 35.46577 images/sec.
Type : bottle Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.04133, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.11165 sec, avg_samples: 96.0, avg_ips: 859.80971 images/sec.
Type : bottle Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.01414, avg_reader_cost: 0.00019 sec, avg_batch_cost: 0.04027 sec, avg_samples: 17.0, avg_ips: 422.15704 images/sec.
Type : bottle Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.06283, avg_reader_cost: 2.44374 sec, avg_batch_cost: 2.55606 sec, avg_samples: 96.0, avg_ips: 37.55774 images/sec.
