
############################
training cable
############################

Type : cable Train [ Epoch 1/256 iter 1 ] lr: 0.03000, loss: 1.27084, avg_reader_cost: 3.55346 sec, avg_batch_cost: 7.45882 sec, avg_samples: 96.0, avg_ips: 12.87067 images/sec.
Type : cable Train [ Epoch 4/256 iter 3 ] lr: 0.02996, loss: 0.28749, avg_reader_cost: 0.00053 sec, avg_batch_cost: 0.06316 sec, avg_samples: 32.0, avg_ips: 506.68467 images/sec.
Type : cable Train [ Epoch 5/256 iter 1 ] lr: 0.02993, loss: 0.23943, avg_reader_cost: 3.02177 sec, avg_batch_cost: 3.13967 sec, avg_samples: 96.0, avg_ips: 30.57642 images/sec.
Type : cable Train [ Epoch 5/256 iter 2 ] lr: 0.02993, loss: 0.21519, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11374 sec, avg_samples: 96.0, avg_ips: 844.03933 images/sec.
Type : cable Train [ Epoch 5/256 iter 3 ] lr: 0.02993, loss: 0.19847, avg_reader_cost: 0.00049 sec, avg_batch_cost: 0.05798 sec, avg_samples: 32.0, avg_ips: 551.94111 images/sec.
Type : cable Train [ Epoch 6/256 iter 1 ] lr: 0.02989, loss: 0.22170, avg_reader_cost: 2.91632 sec, avg_batch_cost: 3.03598 sec, avg_samples: 96.0, avg_ips: 31.62073 images/sec.
Type : cable Train [ Epoch 6/256 iter 2 ] lr: 0.02989, loss: 0.19818, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11367 sec, avg_samples: 96.0, avg_ips: 844.55450 images/sec.
Type : cable Train [ Epoch 6/256 iter 3 ] lr: 0.02989, loss: 0.21642, avg_reader_cost: 0.00041 sec, avg_batch_cost: 0.05945 sec, avg_samples: 32.0, avg_ips: 538.30927 images/sec.
Type : cable Train [ Epoch 7/256 iter 1 ] lr: 0.02984, loss: 0.21705, avg_reader_cost: 3.01983 sec, avg_batch_cost: 3.13859 sec, avg_samples: 96.0, avg_ips: 30.58698 images/sec.
Type : cable Train [ Epoch 7/256 iter 2 ] lr: 0.02984, loss: 0.15510, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11563 sec, avg_samples: 96.0, avg_ips: 830.22131 images/sec.
Type : cable Train [ Epoch 7/256 iter 3 ] lr: 0.02984, loss: 0.19428, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.05935 sec, avg_samples: 32.0, avg_ips: 539.16560 images/sec.
Type : cable Train [ Epoch 8/256 iter 1 ] lr: 0.02978, loss: 0.23853, avg_reader_cost: 3.12846 sec, avg_batch_cost: 3.24655 sec, avg_samples: 96.0, avg_ips: 29.56990 images/sec.
Type : cable Train [ Epoch 8/256 iter 2 ] lr: 0.02978, loss: 0.15573, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.11489 sec, avg_samples: 96.0, avg_ips: 835.57421 images/sec.
Type : cable Train [ Epoch 8/256 iter 3 ] lr: 0.02978, loss: 0.20340, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.05960 sec, avg_samples: 32.0, avg_ips: 536.92675 images/sec.
Type : cable Test [ Epoch 8/256 ] test_cost: 14.748959 sec max_auc: 0.90480 roc_auc : 0.904798.
Type : cable Train [ Epoch 9/256 iter 1 ] lr: 0.02971, loss: 0.18859, avg_reader_cost: 3.09492 sec, avg_batch_cost: 3.20969 sec, avg_samples: 96.0, avg_ips: 29.90939 images/sec.
Type : cable Train [ Epoch 9/256 iter 2 ] lr: 0.02971, loss: 0.23231, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11502 sec, avg_samples: 96.0, avg_ips: 834.67006 images/sec.
Type : cable Train [ Epoch 9/256 iter 3 ] lr: 0.02971, loss: 0.19611, avg_reader_cost: 0.00041 sec, avg_batch_cost: 0.05878 sec, avg_samples: 32.0, avg_ips: 544.44082 images/sec.
Type : cable Train [ Epoch 10/256 iter 1 ] lr: 0.02964, loss: 0.13252, avg_reader_cost: 3.05667 sec, avg_batch_cost: 3.17432 sec, avg_samples: 96.0, avg_ips: 30.24269 images/sec.
Type : cable Train [ Epoch 10/256 iter 2 ] lr: 0.02964, loss: 0.14350, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11608 sec, avg_samples: 96.0, avg_ips: 826.98495 images/sec.
Type : cable Train [ Epoch 10/256 iter 3 ] lr: 0.02964, loss: 0.15663, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.05741 sec, avg_samples: 32.0, avg_ips: 557.41500 images/sec.
Type : cable Train [ Epoch 11/256 iter 1 ] lr: 0.02955, loss: 0.15180, avg_reader_cost: 3.00888 sec, avg_batch_cost: 3.12507 sec, avg_samples: 96.0, avg_ips: 30.71932 images/sec.
Type : cable Train [ Epoch 11/256 iter 2 ] lr: 0.02955, loss: 0.14712, avg_reader_cost: 0.00045 sec, avg_batch_cost: 0.11609 sec, avg_samples: 96.0, avg_ips: 826.97986 images/sec.
Type : cable Train [ Epoch 11/256 iter 3 ] lr: 0.02955, loss: 0.16227, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.06070 sec, avg_samples: 32.0, avg_ips: 527.16683 images/sec.
Type : cable Train [ Epoch 12/256 iter 1 ] lr: 0.02946, loss: 0.11145, avg_reader_cost: 3.04167 sec, avg_batch_cost: 3.15710 sec, avg_samples: 96.0, avg_ips: 30.40761 images/sec.
Type : cable Train [ Epoch 12/256 iter 2 ] lr: 0.02946, loss: 0.11003, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.11593 sec, avg_samples: 96.0, avg_ips: 828.08704 images/sec.
Type : cable Train [ Epoch 12/256 iter 3 ] lr: 0.02946, loss: 0.23681, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.06841 sec, avg_samples: 32.0, avg_ips: 467.78146 images/sec.
Type : cable Train [ Epoch 13/256 iter 1 ] lr: 0.02935, loss: 0.20276, avg_reader_cost: 3.00255 sec, avg_batch_cost: 3.11916 sec, avg_samples: 96.0, avg_ips: 30.77749 images/sec.
Type : cable Train [ Epoch 13/256 iter 2 ] lr: 0.02935, loss: 0.13259, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.11783 sec, avg_samples: 96.0, avg_ips: 814.70151 images/sec.
Type : cable Train [ Epoch 13/256 iter 3 ] lr: 0.02935, loss: 0.08075, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.05832 sec, avg_samples: 32.0, avg_ips: 548.68072 images/sec.
Type : cable Train [ Epoch 14/256 iter 1 ] lr: 0.02924, loss: 0.18111, avg_reader_cost: 3.12325 sec, avg_batch_cost: 3.24141 sec, avg_samples: 96.0, avg_ips: 29.61672 images/sec.
Type : cable Train [ Epoch 14/256 iter 2 ] lr: 0.02924, loss: 0.17412, avg_reader_cost: 0.00042 sec, avg_batch_cost: 0.11999 sec, avg_samples: 96.0, avg_ips: 800.04845 images/sec.
Type : cable Train [ Epoch 14/256 iter 3 ] lr: 0.02924, loss: 0.10729, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.05788 sec, avg_samples: 32.0, avg_ips: 552.83456 images/sec.
Type : cable Train [ Epoch 15/256 iter 1 ] lr: 0.02912, loss: 0.11747, avg_reader_cost: 2.91152 sec, avg_batch_cost: 3.04078 sec, avg_samples: 96.0, avg_ips: 31.57085 images/sec.
Type : cable Train [ Epoch 15/256 iter 2 ] lr: 0.02912, loss: 0.07729, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11431 sec, avg_samples: 96.0, avg_ips: 839.83886 images/sec.
Type : cable Train [ Epoch 15/256 iter 3 ] lr: 0.02912, loss: 0.06006, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.05853 sec, avg_samples: 32.0, avg_ips: 546.68500 images/sec.
Type : cable Train [ Epoch 16/256 iter 1 ] lr: 0.02899, loss: 0.10290, avg_reader_cost: 3.00924 sec, avg_batch_cost: 3.12548 sec, avg_samples: 96.0, avg_ips: 30.71531 images/sec.
Type : cable Train [ Epoch 16/256 iter 2 ] lr: 0.02899, loss: 0.08897, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11750 sec, avg_samples: 96.0, avg_ips: 817.00258 images/sec.
Type : cable Train [ Epoch 16/256 iter 3 ] lr: 0.02899, loss: 0.13087, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.05724 sec, avg_samples: 32.0, avg_ips: 559.01460 images/sec.
Type : cable Test [ Epoch 16/256 ] test_cost: 16.256365 sec max_auc: 0.92466 roc_auc : 0.924663.
Type : cable Train [ Epoch 17/256 iter 1 ] lr: 0.02886, loss: 0.07924, avg_reader_cost: 2.98486 sec, avg_batch_cost: 3.10324 sec, avg_samples: 96.0, avg_ips: 30.93541 images/sec.
Type : cable Train [ Epoch 17/256 iter 2 ] lr: 0.02886, loss: 0.06529, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11438 sec, avg_samples: 96.0, avg_ips: 839.31718 images/sec.
Type : cable Train [ Epoch 17/256 iter 3 ] lr: 0.02886, loss: 0.13921, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05701 sec, avg_samples: 32.0, avg_ips: 561.34323 images/sec.
Type : cable Train [ Epoch 18/256 iter 1 ] lr: 0.02871, loss: 0.13189, avg_reader_cost: 2.76177 sec, avg_batch_cost: 2.87683 sec, avg_samples: 96.0, avg_ips: 33.37008 images/sec.
Type : cable Train [ Epoch 18/256 iter 2 ] lr: 0.02871, loss: 0.10123, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11364 sec, avg_samples: 96.0, avg_ips: 844.77067 images/sec.
Type : cable Train [ Epoch 18/256 iter 3 ] lr: 0.02871, loss: 0.11355, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.06277 sec, avg_samples: 32.0, avg_ips: 509.76952 images/sec.
Type : cable Train [ Epoch 19/256 iter 1 ] lr: 0.02856, loss: 0.11441, avg_reader_cost: 2.65807 sec, avg_batch_cost: 2.77410 sec, avg_samples: 96.0, avg_ips: 34.60577 images/sec.
Type : cable Train [ Epoch 19/256 iter 2 ] lr: 0.02856, loss: 0.10656, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.11534 sec, avg_samples: 96.0, avg_ips: 832.34768 images/sec.
Type : cable Train [ Epoch 19/256 iter 3 ] lr: 0.02856, loss: 0.10796, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.05646 sec, avg_samples: 32.0, avg_ips: 566.76912 images/sec.
Type : cable Train [ Epoch 20/256 iter 1 ] lr: 0.02840, loss: 0.07303, avg_reader_cost: 3.00949 sec, avg_batch_cost: 3.12484 sec, avg_samples: 96.0, avg_ips: 30.72159 images/sec.
Type : cable Train [ Epoch 20/256 iter 2 ] lr: 0.02840, loss: 0.07806, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.11559 sec, avg_samples: 96.0, avg_ips: 830.50557 images/sec.
Type : cable Train [ Epoch 20/256 iter 3 ] lr: 0.02840, loss: 0.08638, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05908 sec, avg_samples: 32.0, avg_ips: 541.60891 images/sec.
Type : cable Train [ Epoch 21/256 iter 1 ] lr: 0.02823, loss: 0.07466, avg_reader_cost: 2.67262 sec, avg_batch_cost: 2.78631 sec, avg_samples: 96.0, avg_ips: 34.45412 images/sec.
Type : cable Train [ Epoch 21/256 iter 2 ] lr: 0.02823, loss: 0.07249, avg_reader_cost: 0.00020 sec, avg_batch_cost: 0.11237 sec, avg_samples: 96.0, avg_ips: 854.34944 images/sec.
Type : cable Train [ Epoch 21/256 iter 3 ] lr: 0.02823, loss: 0.12182, avg_reader_cost: 0.00032 sec, avg_batch_cost: 0.05773 sec, avg_samples: 32.0, avg_ips: 554.33238 images/sec.
Type : cable Train [ Epoch 22/256 iter 1 ] lr: 0.02805, loss: 0.08606, avg_reader_cost: 2.82326 sec, avg_batch_cost: 2.93834 sec, avg_samples: 96.0, avg_ips: 32.67155 images/sec.
Type : cable Train [ Epoch 22/256 iter 2 ] lr: 0.02805, loss: 0.09914, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11252 sec, avg_samples: 96.0, avg_ips: 853.18724 images/sec.
Type : cable Train [ Epoch 22/256 iter 3 ] lr: 0.02805, loss: 0.10744, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05633 sec, avg_samples: 32.0, avg_ips: 568.08611 images/sec.
Type : cable Train [ Epoch 23/256 iter 1 ] lr: 0.02787, loss: 0.19151, avg_reader_cost: 2.52904 sec, avg_batch_cost: 2.64235 sec, avg_samples: 96.0, avg_ips: 36.33129 images/sec.
Type : cable Train [ Epoch 23/256 iter 2 ] lr: 0.02787, loss: 0.07557, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11516 sec, avg_samples: 96.0, avg_ips: 833.65394 images/sec.
Type : cable Train [ Epoch 23/256 iter 3 ] lr: 0.02787, loss: 0.08116, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05633 sec, avg_samples: 32.0, avg_ips: 568.10775 images/sec.
Type : cable Train [ Epoch 24/256 iter 1 ] lr: 0.02767, loss: 0.08994, avg_reader_cost: 2.82223 sec, avg_batch_cost: 2.94141 sec, avg_samples: 96.0, avg_ips: 32.63742 images/sec.
Type : cable Train [ Epoch 24/256 iter 2 ] lr: 0.02767, loss: 0.10479, avg_reader_cost: 0.00042 sec, avg_batch_cost: 0.11846 sec, avg_samples: 96.0, avg_ips: 810.38260 images/sec.
Type : cable Train [ Epoch 24/256 iter 3 ] lr: 0.02767, loss: 0.08971, avg_reader_cost: 0.00023 sec, avg_batch_cost: 0.05635 sec, avg_samples: 32.0, avg_ips: 567.84576 images/sec.
Type : cable Test [ Epoch 24/256 ] test_cost: 13.922878 sec max_auc: 0.92466 roc_auc : 0.826649.
Type : cable Train [ Epoch 25/256 iter 1 ] lr: 0.02747, loss: 0.11215, avg_reader_cost: 3.17344 sec, avg_batch_cost: 3.29277 sec, avg_samples: 96.0, avg_ips: 29.15479 images/sec.
Type : cable Train [ Epoch 25/256 iter 2 ] lr: 0.02747, loss: 0.09304, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.11418 sec, avg_samples: 96.0, avg_ips: 840.80341 images/sec.
Type : cable Train [ Epoch 25/256 iter 3 ] lr: 0.02747, loss: 0.08460, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.05723 sec, avg_samples: 32.0, avg_ips: 559.18229 images/sec.
Type : cable Train [ Epoch 26/256 iter 1 ] lr: 0.02726, loss: 0.09224, avg_reader_cost: 2.89843 sec, avg_batch_cost: 3.01399 sec, avg_samples: 96.0, avg_ips: 31.85150 images/sec.
Type : cable Train [ Epoch 26/256 iter 2 ] lr: 0.02726, loss: 0.07299, avg_reader_cost: 0.00021 sec, avg_batch_cost: 0.11344 sec, avg_samples: 96.0, avg_ips: 846.24072 images/sec.
Type : cable Train [ Epoch 26/256 iter 3 ] lr: 0.02726, loss: 0.05874, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.05723 sec, avg_samples: 32.0, avg_ips: 559.17064 images/sec.
Type : cable Train [ Epoch 27/256 iter 1 ] lr: 0.02705, loss: 0.07915, avg_reader_cost: 2.84117 sec, avg_batch_cost: 2.95888 sec, avg_samples: 96.0, avg_ips: 32.44474 images/sec.
Type : cable Train [ Epoch 27/256 iter 2 ] lr: 0.02705, loss: 0.04543, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11430 sec, avg_samples: 96.0, avg_ips: 839.91594 images/sec.
Type : cable Train [ Epoch 27/256 iter 3 ] lr: 0.02705, loss: 0.04644, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.06858 sec, avg_samples: 32.0, avg_ips: 466.57974 images/sec.
Type : cable Train [ Epoch 28/256 iter 1 ] lr: 0.02683, loss: 0.04446, avg_reader_cost: 3.15424 sec, avg_batch_cost: 3.27069 sec, avg_samples: 96.0, avg_ips: 29.35164 images/sec.
Type : cable Train [ Epoch 28/256 iter 2 ] lr: 0.02683, loss: 0.05553, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.11624 sec, avg_samples: 96.0, avg_ips: 825.86885 images/sec.
Type : cable Train [ Epoch 28/256 iter 3 ] lr: 0.02683, loss: 0.16597, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.05827 sec, avg_samples: 32.0, avg_ips: 549.14316 images/sec.
Type : cable Train [ Epoch 29/256 iter 1 ] lr: 0.02660, loss: 0.06779, avg_reader_cost: 2.74854 sec, avg_batch_cost: 2.86358 sec, avg_samples: 96.0, avg_ips: 33.52444 images/sec.
Type : cable Train [ Epoch 29/256 iter 2 ] lr: 0.02660, loss: 0.09095, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11605 sec, avg_samples: 96.0, avg_ips: 827.24830 images/sec.
Type : cable Train [ Epoch 29/256 iter 3 ] lr: 0.02660, loss: 0.04182, avg_reader_cost: 0.00048 sec, avg_batch_cost: 0.05985 sec, avg_samples: 32.0, avg_ips: 534.67447 images/sec.
Type : cable Train [ Epoch 30/256 iter 1 ] lr: 0.02636, loss: 0.06450, avg_reader_cost: 3.09873 sec, avg_batch_cost: 3.21638 sec, avg_samples: 96.0, avg_ips: 29.84718 images/sec.
Type : cable Train [ Epoch 30/256 iter 2 ] lr: 0.02636, loss: 0.08351, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.11725 sec, avg_samples: 96.0, avg_ips: 818.72860 images/sec.
Type : cable Train [ Epoch 30/256 iter 3 ] lr: 0.02636, loss: 0.01437, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.05720 sec, avg_samples: 32.0, avg_ips: 559.40836 images/sec.
Type : cable Train [ Epoch 31/256 iter 1 ] lr: 0.02611, loss: 0.02595, avg_reader_cost: 3.02628 sec, avg_batch_cost: 3.14362 sec, avg_samples: 96.0, avg_ips: 30.53803 images/sec.
Type : cable Train [ Epoch 31/256 iter 2 ] lr: 0.02611, loss: 0.04009, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.11647 sec, avg_samples: 96.0, avg_ips: 824.25095 images/sec.
Type : cable Train [ Epoch 31/256 iter 3 ] lr: 0.02611, loss: 0.01794, avg_reader_cost: 0.00041 sec, avg_batch_cost: 0.05868 sec, avg_samples: 32.0, avg_ips: 545.34558 images/sec.
Type : cable Train [ Epoch 32/256 iter 1 ] lr: 0.02586, loss: 0.06527, avg_reader_cost: 3.00954 sec, avg_batch_cost: 3.12639 sec, avg_samples: 96.0, avg_ips: 30.70634 images/sec.
Type : cable Train [ Epoch 32/256 iter 2 ] lr: 0.02586, loss: 0.04881, avg_reader_cost: 0.00033 sec, avg_batch_cost: 0.11789 sec, avg_samples: 96.0, avg_ips: 814.30114 images/sec.
Type : cable Train [ Epoch 32/256 iter 3 ] lr: 0.02586, loss: 0.01150, avg_reader_cost: 0.00043 sec, avg_batch_cost: 0.05903 sec, avg_samples: 32.0, avg_ips: 542.08797 images/sec.
Type : cable Test [ Epoch 32/256 ] test_cost: 15.074248 sec max_auc: 0.92466 roc_auc : 0.836582.
Type : cable Train [ Epoch 33/256 iter 1 ] lr: 0.02561, loss: 0.05328, avg_reader_cost: 3.12197 sec, avg_batch_cost: 3.23871 sec, avg_samples: 96.0, avg_ips: 29.64144 images/sec.
Type : cable Train [ Epoch 33/256 iter 2 ] lr: 0.02561, loss: 0.04228, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.11549 sec, avg_samples: 96.0, avg_ips: 831.26340 images/sec.
Type : cable Train [ Epoch 33/256 iter 3 ] lr: 0.02561, loss: 0.05564, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.05843 sec, avg_samples: 32.0, avg_ips: 547.66204 images/sec.
Type : cable Train [ Epoch 34/256 iter 1 ] lr: 0.02534, loss: 0.06164, avg_reader_cost: 3.11188 sec, avg_batch_cost: 3.22819 sec, avg_samples: 96.0, avg_ips: 29.73805 images/sec.
Type : cable Train [ Epoch 34/256 iter 2 ] lr: 0.02534, loss: 0.05899, avg_reader_cost: 0.00025 sec, avg_batch_cost: 0.11539 sec, avg_samples: 96.0, avg_ips: 831.96244 images/sec.
Type : cable Train [ Epoch 34/256 iter 3 ] lr: 0.02534, loss: 0.05629, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.05783 sec, avg_samples: 32.0, avg_ips: 553.39301 images/sec.
Type : cable Train [ Epoch 35/256 iter 1 ] lr: 0.02507, loss: 0.06938, avg_reader_cost: 3.10724 sec, avg_batch_cost: 3.22414 sec, avg_samples: 96.0, avg_ips: 29.77539 images/sec.
Type : cable Train [ Epoch 35/256 iter 2 ] lr: 0.02507, loss: 0.08243, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.11915 sec, avg_samples: 96.0, avg_ips: 805.67859 images/sec.
Type : cable Train [ Epoch 35/256 iter 3 ] lr: 0.02507, loss: 0.15205, avg_reader_cost: 0.00027 sec, avg_batch_cost: 0.06037 sec, avg_samples: 32.0, avg_ips: 530.09838 images/sec.
Type : cable Train [ Epoch 36/256 iter 1 ] lr: 0.02480, loss: 0.03701, avg_reader_cost: 3.06999 sec, avg_batch_cost: 3.18801 sec, avg_samples: 96.0, avg_ips: 30.11279 images/sec.
Type : cable Train [ Epoch 36/256 iter 2 ] lr: 0.02480, loss: 0.01266, avg_reader_cost: 0.00029 sec, avg_batch_cost: 0.11560 sec, avg_samples: 96.0, avg_ips: 830.42335 images/sec.
Type : cable Train [ Epoch 36/256 iter 3 ] lr: 0.02480, loss: 0.08454, avg_reader_cost: 0.00026 sec, avg_batch_cost: 0.06144 sec, avg_samples: 32.0, avg_ips: 520.84958 images/sec.
Type : cable Train [ Epoch 37/256 iter 1 ] lr: 0.02452, loss: 0.14130, avg_reader_cost: 2.83854 sec, avg_batch_cost: 2.95733 sec, avg_samples: 96.0, avg_ips: 32.46170 images/sec.
Type : cable Train [ Epoch 37/256 iter 2 ] lr: 0.02452, loss: 0.02889, avg_reader_cost: 0.00040 sec, avg_batch_cost: 0.11786 sec, avg_samples: 96.0, avg_ips: 814.52022 images/sec.
Type : cable Train [ Epoch 37/256 iter 3 ] lr: 0.02452, loss: 0.09370, avg_reader_cost: 0.00038 sec, avg_batch_cost: 0.05870 sec, avg_samples: 32.0, avg_ips: 545.12188 images/sec.
Type : cable Train [ Epoch 38/256 iter 1 ] lr: 0.02423, loss: 0.08432, avg_reader_cost: 2.94899 sec, avg_batch_cost: 3.06251 sec, avg_samples: 96.0, avg_ips: 31.34685 images/sec.
Type : cable Train [ Epoch 38/256 iter 2 ] lr: 0.02423, loss: 0.06674, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11595 sec, avg_samples: 96.0, avg_ips: 827.96274 images/sec.
Type : cable Train [ Epoch 38/256 iter 3 ] lr: 0.02423, loss: 0.01400, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.05818 sec, avg_samples: 32.0, avg_ips: 550.05913 images/sec.
Type : cable Train [ Epoch 39/256 iter 1 ] lr: 0.02394, loss: 0.04742, avg_reader_cost: 2.53879 sec, avg_batch_cost: 2.65468 sec, avg_samples: 96.0, avg_ips: 36.16258 images/sec.
Type : cable Train [ Epoch 39/256 iter 2 ] lr: 0.02394, loss: 0.02331, avg_reader_cost: 0.00028 sec, avg_batch_cost: 0.11654 sec, avg_samples: 96.0, avg_ips: 823.77036 images/sec.
Type : cable Train [ Epoch 39/256 iter 3 ] lr: 0.02394, loss: 0.09739, avg_reader_cost: 0.00030 sec, avg_batch_cost: 0.05847 sec, avg_samples: 32.0, avg_ips: 547.26010 images/sec.
Type : cable Train [ Epoch 40/256 iter 1 ] lr: 0.02364, loss: 0.06452, avg_reader_cost: 3.15998 sec, avg_batch_cost: 3.28834 sec, avg_samples: 96.0, avg_ips: 29.19410 images/sec.
Type : cable Train [ Epoch 40/256 iter 2 ] lr: 0.02364, loss: 0.05090, avg_reader_cost: 0.00024 sec, avg_batch_cost: 0.11407 sec, avg_samples: 96.0, avg_ips: 841.56784 images/sec.
Type : cable Train [ Epoch 40/256 iter 3 ] lr: 0.02364, loss: 0.06483, avg_reader_cost: 0.00034 sec, avg_batch_cost: 0.06016 sec, avg_samples: 32.0, avg_ips: 531.88608 images/sec.
Type : cable Test [ Epoch 40/256 ] test_cost: 14.023161 sec max_auc: 0.92466 roc_auc : 0.824400.
Type : cable Train [ Epoch 41/256 iter 1 ] lr: 0.02333, loss: 0.02389, avg_reader_cost: 3.08629 sec, avg_batch_cost: 3.20096 sec, avg_samples: 96.0, avg_ips: 29.99097 images/sec.
Type : cable Train [ Epoch 41/256 iter 2 ] lr: 0.02333, loss: 0.06542, avg_reader_cost: 0.00031 sec, avg_batch_cost: 0.11688 sec, avg_samples: 96.0, avg_ips: 821.36906 images/sec.
Type : cable Train [ Epoch 41/256 iter 3 ] lr: 0.02333, loss: 0.07426, avg_reader_cost: 0.00022 sec, avg_batch_cost: 0.05683 sec, avg_samples: 32.0, avg_ips: 563.08358 images/sec.
Type : cable Train [ Epoch 42/256 iter 1 ] lr: 0.02302, loss: 0.06726, avg_reader_cost: 3.10141 sec, avg_batch_cost: 3.21748 sec, avg_samples: 96.0, avg_ips: 29.83704 images/sec.
Type : cable Train [ Epoch 42/256 iter 2 ] lr: 0.02302, loss: 0.08448, avg_reader_cost: 0.00036 sec, avg_batch_cost: 0.11566 sec, avg_samples: 96.0, avg_ips: 830.01423 images/sec.
